scenario,date,hour,original,final,emergency,soc,actual_net,predicted_net,price,interval_cost
2,2025-06-01,0.08333333333333333,1420.083756798324,1420.083756798324,0.0,1981.413643885525,718.9268833333334,587.2051595052084,0.4248,603.2515798879281
2,2025-06-01,0.25,1416.5193929472266,1416.5193929472266,0.0,2678.3553313919692,681.8783500000001,588.7593994140625,0.4245,601.3124823060976
2,2025-06-01,0.4166666666666667,1411.6857512549175,1411.6857512549175,0.0,3379.0313920914505,673.1083333333333,586.1305338541666,0.4269,602.6486472107242
2,2025-06-01,0.5833333333333334,1410.9260922165008,1410.9260922165008,0.0,4069.4579014869755,683.15265,583.5613606770834,0.4272,602.7476265948892
2,2025-06-01,0.75,1402.735058577839,1402.735058577839,0.0,4742.688118602116,693.0880999999999,570.8721923828125,0.4271,599.108143518595
2,2025-06-01,0.9166666666666666,1391.3636769004113,1391.3636769004113,0.0,5413.043874329259,684.7466666666666,560.7874348958334,0.4285,596.1993355518263
2,2025-06-01,1.0833333333333333,579.5725198593284,579.5725198593284,0.0,5332.3217159109845,656.1522833333333,581.11572265625,0.4311,249.85371331135647
2,2025-06-01,1.25,888.0222885112138,888.0222885112138,0.0,5550.503178666188,658.0388333333334,600.6572265625,0.4302,382.0271885175242
2,2025-06-01,1.4166666666666667,1435.7591761063034,1435.7591761063034,0.0,6275.9415414052655,671.08,597.5003255208334,0.4279,614.3613514558872
2,2025-06-01,1.5833333333333333,584.8542527671598,584.8542527671598,0.0,6223.198600388319,634.8906000000001,580.8621012369791,0.4312,252.18915379319932
2,2025-06-01,1.75,579.0440923250226,579.0440923250226,0.0,6147.6825409311095,650.6849166666667,579.2742513020834,0.4333,250.89980520443228
2,2025-06-01,1.9166666666666667,591.3251469891817,591.3251469891817,0.0,6031.841437895654,701.2216666666667,588.5919596354166,0.4311,254.9202708670362
2,2025-06-01,2.0833333333333335,1412.3634859451872,1412.3634859451872,0.0,6739.384306764552,666.5478166666667,579.4363606770834,0.4293,606.327644516269
2,2025-06-01,2.25,565.9853178603158,565.9853178603158,0.0,6651.99829609407,648.8869666666667,570.4108072916666,0.4324,244.73205144280058
