day,date,month,scenario,planned_kwh,final_kwh,emergency_kwh,emergency_minutes,charge_kwh,discharge_kwh,surplus_kwh,initial_soc,final_soc,planned_cost,up_cost,down_cost,emergency_cost,total_cost,violations,max_balance_error,max_state_error,solve_execute_seconds,solver_calls,timeout_count,fallback_count,incumbent_count,gap_certified_count,weight,updates,name,seed,kind,method,update_hours,anticipate,raw_pv,known_price
31,2025-02-01,2,2,40205.49753088351,40205.49753088351,0.0,0,18909.076277353623,16547.370161284933,3465.615481481489,1421.7991105135516,1918.0642912127296,20830.271060410636,0.0,0.0,0.0,20830.271060410636,0,0.0,9.094947017729282e-13,0.15644475002773106,1,0,0,0,1,0.0,0,weekly,42,weekly,deterministic,[],True,False,False
32,2025-02-02,2,2,89496.87344629629,89496.87344629629,0.0,0,22329.056382909184,20118.892994618265,8930.432108005378,1918.0642912127296,1894.0918548404104,56137.44784184109,0.0,0.0,0.0,56137.44784184109,0,0.0,9.094947017729282e-13,0.033423291984945536,1,0,0,0,1,0.0,0,weekly,42,weekly,deterministic,[],True,False,False
33,2025-02-03,2,2,86018.76882777776,86018.76882777776,0.0,0,24013.494222222223,21687.07855,3475.436655555555,1894.0918548404104,1815.1047469678645,53642.47607110723,0.0,0.0,0.0,53642.47607110724,0,0.0,9.023892744153272e-13,0.044086082954891026,1,0,0,0,1,0.0,0,weekly,42,weekly,deterministic,[],True,False,False
34,2025-02-04,2,2,88918.5776049576,88918.5776049576,0.0,0,24103.839610686955,21662.138411284934,5282.012455555558,1815.1047469678645,1848.116014687752,55766.034546808216,0.0,0.0,0.0,55766.034546808216,0,0.0,9.094947017729282e-13,0.03607845795340836,1,0,0,0,1,0.0,0,weekly,42,weekly,deterministic,[],True,False,False
35,2025-02-05,2,2,83132.50141662425,83132.50141662425,430.376615381744,50,24441.831843596156,22212.94671756986,585.565922646364,1848.116014687752,1621.1719346393775,51492.765533751546,0.0,0.0,2344.9454109343196,53837.71094468587,0,0.0,9.094947017729282e-13,0.04447095806244761,1,0,0,0,1,0.0,0,weekly,42,weekly,deterministic,[],True,False,False
36,2025-02-06,2,2,85795.32655125388,85795.32655125388,1.8154166666666924,10,23577.82017550177,21019.612861284928,2967.877437037041,1621.1719346393775,1832.438747366587,53706.73336246508,0.0,0.0,10.544847708333482,53717.27821017342,0,0.0,9.094947017729282e-13,0.04589083301834762,1,0,0,0,1,0.0,0,weekly,42,weekly,deterministic,[],True,False,False
37,2025-02-07,2,2,40073.566334587216,40073.566334587216,0.0,0,18417.23640883511,17023.6601779516,6874.310437037031,1832.438747366587,1360.0498996648125,20552.896144991864,0.0,0.0,0.0,20552.896144991868,0,0.0,9.094947017729282e-13,0.10703704203478992,1,0,0,0,1,0.0,0,weekly,42,weekly,deterministic,[],True,False,False
38,2025-02-08,2,2,36426.359273900256,36426.359273900256,95.47198166666607,30,18298.59613846474,16455.1452629516,3101.21766338711,1360.0498996648125,1374.3763473788117,18823.372079417655,0.0,0.0,302.4397495158304,19125.81182893348,0,0.0,9.094947017729282e-13,0.1092865839600563,1,0,0,0,1,0.0,0,weekly,42,weekly,deterministic,[],True,False,False
39,2025-02-09,2,2,80517.73132532796,80517.73132532796,1482.1812249999966,120,23140.694694020294,20978.2021529516,282.00404259259096,1374.3763473788117,1214.6002359569975,49786.42279190147,0.0,0.0,9501.559825211643,59287.98261711311,0,0.0,9.094947017729282e-13,0.03513458289671689,1,0,0,0,1,0.0,0,weekly,42,weekly,deterministic,[],True,False,False
40,2025-02-10,2,2,82607.07196606869,82607.07196606869,84.94439333333821,50,21743.184297724,19582.716867951596,6204.911346296292,1214.6002359569975,1200.0,51148.146886041104,0.0,0.0,214.7923395800097,51362.939225621114,0,0.0,9.094947017729282e-13,0.036687082960270345,1,0,0,0,1,0.0,0,weekly,42,weekly,deterministic,[],True,False,False
