scenario,date,hour,soc
2,2025-06-01,0.0,1316.237828715971
2,2025-06-01,0.16666666666666666,1981.413643885525
2,2025-06-01,0.3333333333333333,2678.3553313919692
2,2025-06-01,0.5,3379.0313920914505
2,2025-06-01,0.6666666666666666,4069.4579014869755
2,2025-06-01,0.8333333333333334,4742.688118602116
2,2025-06-01,1.0,5413.043874329259
2,2025-06-01,1.1666666666666667,5332.3217159109845
2,2025-06-01,1.3333333333333333,5550.503178666188
2,2025-06-01,1.5,6275.9415414052655
2,2025-06-01,1.6666666666666667,6223.198600388319
2,2025-06-01,1.8333333333333333,6147.6825409311095
2,2025-06-01,2.0,6031.841437895654
2,2025-06-01,2.1666666666666665,6739.384306764552
2,2025-06-01,2.3333333333333335,6651.99829609407
2,2025-06-01,2.5,6558.434085331933
2,2025-06-01,2.6666666666666665,6509.924138983389
2,2025-06-01,2.8333333333333335,6462.17334729167
2,2025-06-01,3.0,6372.173536621154
2,2025-06-01,3.1666666666666665,6319.0807358250495
2,2025-06-01,3.3333333333333335,6285.474086555105
2,2025-06-01,3.5,6227.652189262663
2,2025-06-01,3.6666666666666665,6198.566204375492
2,2025-06-01,3.8333333333333335,6184.835873569129
2,2025-06-01,4.0,6181.544653160934
2,2025-06-01,4.166666666666667,6190.102570196462
2,2025-06-01,4.333333333333333,6179.141872658904
2,2025-06-01,4.5,6121.456910781736
2,2025-06-01,4.666666666666667,6106.03047217647
2,2025-06-01,4.833333333333333,6115.289520059767
2,2025-06-01,5.0,6100.985918753897
2,2025-06-01,5.166666666666667,6108.211077233836
2,2025-06-01,5.333333333333333,6088.839667285246
2,2025-06-01,5.5,6868.383434168848
2,2025-06-01,5.666666666666667,7654.922604124249
2,2025-06-01,5.833333333333333,7097.276951719712
2,2025-06-01,6.0,6442.851934847247
2,2025-06-01,6.166666666666667,5807.952366251074
2,2025-06-01,6.333333333333333,5252.845056556144
2,2025-06-01,6.5,4774.447347226491
2,2025-06-01,6.666666666666667,4356.033389534788
2,2025-06-01,6.833333333333333,3964.7229271677843
2,2025-06-01,7.0,3591.4239550790576
2,2025-06-01,7.166666666666667,3269.9100905890637
2,2025-06-01,7.333333333333333,2992.0947924016386
2,2025-06-01,7.5,2765.541754338256
2,2025-06-01,7.666666666666667,2627.8508267107113
2,2025-06-01,7.833333333333333,2402.942225735244
2,2025-06-01,8.0,1987.6723626071628
2,2025-06-01,8.166666666666666,1585.8916340437606
2,2025-06-01,8.333333333333334,1257.9508618464959
2,2025-06-01,8.5,1200.0
2,2025-06-01,8.666666666666666,1200.0
2,2025-06-01,8.833333333333334,1200.0
2,2025-06-01,9.0,1200.0
2,2025-06-01,9.166666666666666,1200.0
2,2025-06-01,9.333333333333334,1200.0
2,2025-06-01,9.5,1200.0
2,2025-06-01,9.666666666666666,1200.0
2,2025-06-01,9.833333333333334,1200.0
2,2025-06-01,10.0,1200.0
2,2025-06-01,10.166666666666666,1200.0
2,2025-06-01,10.333333333333334,1200.0
2,2025-06-01,10.5,1200.0
2,2025-06-01,10.666666666666666,1200.0
2,2025-06-01,10.833333333333334,1200.0
2,2025-06-01,11.0,1200.0
2,2025-06-01,11.166666666666666,1200.0
2,2025-06-01,11.333333333333334,1200.0
2,2025-06-01,11.5,1200.0
2,2025-06-01,11.666666666666666,1200.0
2,2025-06-01,11.833333333333334,1201.9374484654436
2,2025-06-01,12.0,1200.0
2,2025-06-01,12.166666666666666,1272.1029664383927
2,2025-06-01,12.333333333333334,1452.2049723987657
2,2025-06-01,12.5,1642.1187195578377
2,2025-06-01,12.666666666666666,2193.656792819867
2,2025-06-01,12.833333333333334,2164.295396109388
2,2025-06-01,13.0,2113.1749817066134
2,2025-06-01,13.166666666666666,2102.4235011851792
2,2025-06-01,13.333333333333334,2111.1406357831993
2,2025-06-01,13.5,2099.7542401804403
2,2025-06-01,13.666666666666666,2066.905360688863
2,2025-06-01,13.833333333333334,2015.700460767934
2,2025-06-01,14.0,1928.8392815215673
2,2025-06-01,14.166666666666666,1780.5710094624087
2,2025-06-01,14.333333333333334,1633.388593278915
2,2025-06-01,14.5,1526.7666922983406
2,2025-06-01,14.666666666666666,1391.6747177022241
2,2025-06-01,14.833333333333334,1245.0731592202758
2,2025-06-01,15.0,1203.8477164848546
2,2025-06-01,15.166666666666666,1200.0
2,2025-06-01,15.333333333333334,1200.0
2,2025-06-01,15.5,1200.0
2,2025-06-01,15.666666666666666,1200.0
2,2025-06-01,15.833333333333334,1200.0
2,2025-06-01,16.0,1200.0
2,2025-06-01,16.166666666666668,1200.0
2,2025-06-01,16.333333333333332,1200.0
2,2025-06-01,16.5,1200.0
2,2025-06-01,16.666666666666668,1200.0
2,2025-06-01,16.833333333333332,1200.0
2,2025-06-01,17.0,1200.0
2,2025-06-01,17.166666666666668,1200.0
2,2025-06-01,17.333333333333332,1200.0
2,2025-06-01,17.5,1200.0
2,2025-06-01,17.666666666666668,1200.0
2,2025-06-01,17.833333333333332,1200.0
2,2025-06-01,18.0,1200.0
2,2025-06-01,18.166666666666668,1200.0
2,2025-06-01,18.333333333333332,1200.0
2,2025-06-01,18.5,1200.0
2,2025-06-01,18.666666666666668,1200.0
2,2025-06-01,18.833333333333332,1200.0
2,2025-06-01,19.0,1200.0
2,2025-06-01,19.166666666666668,1200.0
2,2025-06-01,19.333333333333332,1200.0
2,2025-06-01,19.5,1200.0
2,2025-06-01,19.666666666666668,1200.0
2,2025-06-01,19.833333333333332,1200.0
