name,label,date,hour,slot,actual_load_kw,actual_pv_kw,forecast_load_kw,forecast_pv_kw,actual_net_kwh,forecast_net_kwh,planned_kwh,emergency_kwh,charge_kwh,discharge_kwh,soc_kwh
primary,exp006 正式·树DP,2025-03-20,0,0,3299.0689,0,3705.57394716435,0,549.844816666667,617.595657860724,1448.99943421889,0,826.085111292262,0,1716.30685214883
primary,exp006 正式·树DP,2025-03-20,0.166666666666667,1,3421.881,0,3676.06838801349,0,570.3135,612.678064668915,1408.56614477709,0,790.569415042095,0,2500
primary,exp006 正式·树DP,2025-03-20,0.333333333333333,2,3683.11,0,3608.86815039182,0,613.851666666667,601.478025065304,1397.36610517347,0,783.514438506808,0,3250
primary,exp006 正式·树DP,2025-03-20,0.5,3,3476.737,0,3659.50278835977,0,579.456166666667,609.917131393296,1405.80521150147,0,790.569415042095,0,3993.30706159283
primary,exp006 正式·树DP,2025-03-20,0.666666666666667,4,3302.6695,0,3623.93946940424,0,550.444916666667,603.989911567374,1399.87799167554,0,790.569415042095,0,4743.30706159283
primary,exp006 正式·树DP,2025-03-20,0.833333333333333,5,3426.94,0,3490.72496221048,0,571.156666666667,581.787493701746,1377.67557380992,0,790.569415042095,0,5493.30706159283
primary,exp006 正式·树DP,2025-03-20,1,6,3609.5343,0,3455.33409353502,0,601.58905,575.88901558917,633.912308324341,0,32.3232583243411,0,6243.30706159283
primary,exp006 正式·树DP,2025-03-20,1.16666666666667,7,3668.9025,0,3413.50485336569,0,611.48375,568.917475560948,1364.80555566912,0,753.321805669118,0,6273.97159690371
primary,exp006 正式·树DP,2025-03-20,1.33333333333333,8,3589.3,0,3366.83382482473,0,598.216666666667,561.138970804121,1357.02705091229,0,758.810384245625,0,6988.63541199926
primary,exp006 正式·树DP,2025-03-20,1.5,9,3503.6157,0,3457.60078726981,0,583.93595,576.266797878301,581.585462944472,2.35048705552833,0,0,7708.50614992037
primary,exp006 正式·树DP,2025-03-20,1.66666666666667,10,3545.9703,0,3650.2213766009,0,590.99505,608.370229433483,613.688894499654,0,0,0,7708.50614992037
primary,exp006 正式·树DP,2025-03-20,1.83333333333333,11,3590.66,0,3749.44369789173,0,598.443333333333,624.907282981955,1420.79536309013,0,790.569415042095,0,7708.50614992037
primary,exp006 正式·树DP,2025-03-20,2,12,3395.9017,0,3585.25528663021,0,565.983616666667,597.542547771702,1393.43062787987,0,790.569415042095,0,8458.50614992037
primary,exp006 正式·树DP,2025-03-20,2.16666666666667,13,3276.7246,0,3520.88603625348,0,546.120766666667,586.81433937558,596.286586081772,0,0,0,9208.50614992037
primary,exp006 正式·树DP,2025-03-20,2.33333333333333,14,3394.28,0,3630.84976068157,0,565.713333333333,605.141626780262,614.613873486454,0,0,0,9208.50614992037
primary,exp006 正式·树DP,2025-03-20,2.5,15,3587.5594,0,3665.74866698504,0,597.926566666667,610.958111164173,620.430357870366,0,0,0,9208.50614992037
primary,exp006 正式·树DP,2025-03-20,2.66666666666667,16,3605.7268,0,3760.18265634211,0,600.954466666667,626.697109390351,636.169356096544,0,0,0,9208.50614992037
primary,exp006 正式·树DP,2025-03-20,2.83333333333333,17,3522.79,0,3844.02948766374,0,587.131666666667,640.671581277289,623.984389176678,0,0,0,9208.50614992037
primary,exp006 正式·树DP,2025-03-20,3,18,3631.2618,0,3678.33180838993,0,605.2103,613.055301398322,622.527548104514,0,0,0,9208.50614992037
primary,exp006 正式·树DP,2025-03-20,3.16666666666667,19,3731.3543,0,3557.7164542476,0,621.892383333333,592.952742374599,602.424989080792,19.4673942525418,0,0,9208.50614992037
primary,exp006 正式·树DP,2025-03-20,3.33333333333333,20,3721.01,0,3627.68157631292,0,620.168333333333,604.613596052154,614.085842758346,6.08249057498733,0,0,9208.50614992037
primary,exp006 正式·树DP,2025-03-20,3.5,21,3699.7385,0,3733.18668554717,0,616.623083333333,622.197780924528,631.67002763072,0,0,0,9208.50614992037
primary,exp006 正式·树DP,2025-03-20,3.66666666666667,22,3674.7825,0,3674.65957217111,0,612.46375,612.443262028518,621.91550873471,0,0,0,9208.50614992037
primary,exp006 正式·树DP,2025-03-20,3.83333333333333,23,3623.58,0,3565.34915586035,0,603.93,594.224859310059,603.697106016251,0.232893983748681,0,0,9208.50614992037
primary,exp006 正式·树DP,2025-03-20,4,24,3538.7697,0.0019,3689.53888300683,0,589.794633333333,614.923147167805,624.395393873997,0,0,0,9208.50614992037
primary,exp006 正式·树DP,2025-03-20,4.16666666666667,25,3488.7843,0,3749.36479518311,0,581.46405,624.894132530518,634.36637923671,0,0,0,9208.50614992037
primary,exp006 正式·树DP,2025-03-20,4.33333333333333,26,3513.51,0,3683.88195209036,0,585.585,613.980325348394,623.452572054586,0,0,0,9208.50614992037
primary,exp006 正式·树DP,2025-03-20,4.5,27,3598.3779,0.0271,3735.61253423799,0,599.725133333333,622.602089039666,632.074335745858,0,0,0,9208.50614992037
primary,exp006 正式·树DP,2025-03-20,4.66666666666667,28,3700.4359,0,3819.83462896559,0,616.739316666667,636.639104827598,619.951912726987,0,0,0,9208.50614992037
primary,exp006 正式·树DP,2025-03-20,4.83333333333333,29,3753.57,0,3829.73324347861,0,625.595,638.288873913102,621.601681812491,3.9933181875092,0,0,9208.50614992037
primary,exp006 正式·树DP,2025-03-20,5,30,3716.9811,0.3776,3758.53454282622,0,619.433916666667,626.42242380437,635.894670510562,0,0,0,9208.50614992037
primary,exp006 正式·树DP,2025-03-20,5.16666666666667,31,3707.0664,0,3735.08214578444,0,617.8444,622.513690964073,631.985937670266,0,0,0,9208.50614992037
primary,exp006 正式·树DP,2025-03-20,5.33333333333333,32,3642.69,0,3733.63835900499,0,607.115,622.273059834165,1422.31472158236,0,790.569415042095,0,9208.50614992037
primary,exp006 正式·树DP,2025-03-20,5.5,33,3457.8398,5.2594,3712.4444612201,0,575.430066666667,618.740743536683,1418.78240528487,0,790.569415042095,0,9958.50614992037
primary,exp006 正式·树DP,2025-03-20,5.66666666666667,34,4028.7787,0,4267.20322699703,0,671.463116666667,711.200537832839,694.513345732228,0,0,0,10708.5061499204
primary,exp006 正式·树DP,2025-03-20,5.83333333333333,35,4962.09,0,5039.75035248377,0,827.015,839.958392080628,43.0477054451043,0,0,783.967294554896,10708.5061499204
primary,exp006 正式·树DP,2025-03-20,6,36,4905.1198,153.4202,4993.15173961048,98.6517984317269,791.949933333333,815.749990196459,18.8393035609357,0,0,773.110629772398,9882.13206262918
primary,exp006 正式·树DP,2025-03-20,6.16666666666667,37,4660.8239,401.044,4885.8610066822,334.256842538106,709.963316666667,758.600694024016,9.12417229149241,0,0,700.839144375174,9067.20190483986
primary,exp006 正式·树DP,2025-03-20,6.33333333333333,38,4703.75,675.525,5010.5291553716,619.205489313527,671.370833333333,731.887277676345,3.68761203773374,0,0,667.6832212956,8328.45258163014
primary,exp006 正式·树DP,2025-03-20,6.5,39,4726.9008,952.6316,4909.38790323249,931.869783740858,629.044866666667,662.919686581939,38.4106468590834,0,0,590.634219807583,7624.65267003937
