day,date,scenario,planned_cost,up_cost,down_refund,emergency_cost,total_cost,planned_kwh,final_regular_kwh,up_kwh,down_kwh,emergency_kwh,initial_soc,final_soc,seconds
31,2025-02-01,3,21045.101944292837,0.0,-234.95758097191472,0.0,20810.144363320924,40100.3698757459,39521.41410950529,0.0,578.9557662406096,0.0,1779.6211847614163,2394.8246739424453,0.23530783399473876
32,2025-02-02,3,44051.82805800028,7923.361924697483,-8.346064643512705,6941.501063525999,58908.34498158025,72458.35058362685,78252.18586305041,5829.243762909016,35.408483485446254,1343.3318809601997,2394.8246739424453,1392.0663656096706,0.22955058398656547
33,2025-02-03,3,54077.726674624624,0.5065576415237861,-590.7480333231904,0.0,53487.48519894296,86502.13616483967,84767.61536952708,0.3604879316280858,1734.8812832442213,0.0,1392.0663656096706,2008.6955745881326,0.26922079105861485
34,2025-02-04,3,55106.15810195087,945.7093030529942,-1743.5316964332937,151.97486191117883,54460.31057048173,87457.13015685542,83287.50445268859,700.8562049685576,4870.481909135388,72.0709996111419,2008.6955745881326,1290.6617387118454,0.26983012503478676
35,2025-02-05,3,47189.83091749071,7198.553495365146,0.0,1561.8560307382595,55950.24044359413,76509.83256067231,83288.28203202371,6778.4494713513905,0.0,321.27314113999654,1290.6617387118454,1528.0598318040793,0.25142595800571144
36,2025-02-06,3,52932.04528062836,980.5969248562881,-1089.5401103813167,601.4404957687816,53424.54259087209,85227.77113698762,82690.1898632918,631.271835640056,3168.8531093358624,113.78889854064981,1528.0598318040793,1430.656763729499,0.2573387910379097
37,2025-02-07,3,19867.441677789677,0.0,-248.17031553897706,0.0,19619.271362250693,38292.87863632175,37658.11262081296,0.0,634.7660155087888,0.0,1430.656763729499,1568.5142473418648,0.23684170795604587
38,2025-02-08,3,15873.379429686907,4067.7903962014057,0.0,198.60763196513102,20139.77745785344,31953.96976741151,34880.02223470611,2926.05246729461,0.0,36.787648953537534,1568.5142473418648,1599.2201498562238,0.23614287504460663
39,2025-02-09,3,49395.00424465287,3404.319526895654,-0.5091582332584165,91.46794212858293,52890.282555443846,79708.57305058892,82847.79291742749,3140.5520443196224,1.332177481052895,19.145932490565965,1599.2201498562238,1201.057338853659,0.25299695890862495
40,2025-02-10,3,46805.93694389907,3306.6282158788817,-485.8528416217341,4.258434288705491,49630.97075244492,75935.10851016629,77314.87673141222,3215.8839181695116,1836.1156969235744,1.0969691624692146,1201.057338853659,1242.2078051960843,0.2658357919426635
41,2025-02-11,3,46982.36228327336,1825.8175252657497,-49.867423628225175,4278.776089555361,53037.08847446623,76119.37508727793,77476.52282134508,1505.1683853685145,148.02065130137885,804.4782627237057,1242.2078051960843,1580.1404618625882,0.2483903330285102
42,2025-02-12,3,49058.02433610192,818.2463526380059,-447.2616213403116,0.0,49429.009067399646,78462.52291252156,77809.7062269494,592.6509624934766,1245.4676480656221,0.0,1580.1404618625882,1655.0250103637734,0.2603543340228498
43,2025-02-13,3,43240.181426792406,3362.041890723518,-23.295187262095556,823.2530632454034,47402.181193499244,71106.36776803689,73879.35717295362,2868.1985852647,95.20918034796046,143.0243638564633,1655.0250103637734,1307.2538445522932,0.2584516250062734
44,2025-02-14,3,17010.34081372693,2455.024624025136,0.0,0.0,19465.365437752065,33683.645539083554,35557.50621871807,1873.8606796345155,0.0,0.0,1307.2538445522932,2215.628682655074,0.23195095907431096
45,2025-02-15,3,17160.978031610124,876.1162583468357,-14.026161076761706,0.0,18023.068128880208,32899.0298052912,33705.313092044904,843.5175874618562,37.23430070815425,0.0,2215.628682655074,1465.7465360683157,0.23100220900960267
46,2025-02-16,3,47476.10951530679,1733.6951070776074,-224.0187254344729,1724.5130420993698,50710.29893904929,76854.82542106404,77367.93091718308,1086.7344079531097,573.6289118340763,372.2346120664652,1465.7465360683157,1464.5549264166505,0.2745674999896437
