date,start_hour,end_hour,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh
2025-03-20,0,4,7662.811481871653,78.30448784815178,1873.3574460239993,9060.39853744763
2025-03-20,4,8,1835.3594410051624,6431.532836093786,9060.39853744763,4022.1425156423015
2025-03-20,8,12,2492.669663398047,2677.319469308112,4022.1425156423015,3564.7540772229236
2025-03-20,12,16,6300.985435994511,254.7227833333333,3564.7540772229236,9273.89233252015
2025-03-20,16,20,555.0209568897145,5144.072238690813,9273.89233252015,4378.103203488004
2025-03-20,20,24,327.928658233349,3105.5340777497277,4378.103203488004,1415.6832988529056
2025-06-21,0,4,157.73758492056447,878.2833975356932,3426.947321763316,2650.798344944312
2025-06-21,4,8,1094.2403873177952,2058.661307274012,2650.798344944312,1518.8663704964824
2025-06-21,8,12,9783.173845872147,0.0,1518.8663704964824,10800.0
2025-06-21,12,16,0.0,0.0,10800.0,10800.0
2025-06-21,16,20,0.0,6403.890756955989,10800.0,4049.706440373102
2025-06-21,20,24,1029.2523334101616,2748.057278612865,4049.706440373102,2129.4342248853154
2025-09-23,0,4,7701.462155249809,0.0,1913.506832540049,9219.755349793655
2025-09-23,4,8,1687.1562403863356,6537.908175233015,9219.755349793655,3928.7719739926792
2025-09-23,8,12,4906.25077539385,1896.6157166666667,3928.7719739926792,6584.041637076461
2025-09-23,12,16,4745.89391396533,444.663366070793,6584.041637076461,10617.675584634637
2025-09-23,16,20,0.0,5741.0754942896,10617.675584634637,4566.050657657254
2025-09-23,20,24,1366.7910213680361,3355.9960572837394,4566.050657657254,2325.172018367336
2025-12-21,0,4,8621.985280214285,124.90332582466317,1200.0,9247.873765731316
2025-12-21,4,8,3299.727427841247,2580.010856879828,9247.873765731316,9658.699832742499
2025-12-21,8,12,5042.304232617564,8024.627254545485,9658.699832742499,5983.549809173696
2025-12-21,12,16,8006.948448313957,2636.9677515534377,5983.549809173696,10800.0
2025-12-21,16,20,0.0,6478.293194154845,10800.0,3971.2793853677586
2025-12-21,20,24,346.2147451795786,2758.469756766926,3971.2793853677586,1392.0451023003886
