day,date,total_cost,planned_cost,emergency_cost,emergency_kwh,initial_soc,final_soc,mip_gap,mip_seconds,refinement_seconds
0,2025-01-01,214620.04718158676,31720.42502860224,182899.6221529845,35708.51261333333,6000.0,1200.0,0.0007710326546360637,0.024357792106457055,0.04384008306078613
1,2025-01-02,88848.08707593926,88702.01704446424,146.07003147500103,67.67520000000047,1200.0,1398.578686607488,0.000571418513356354,0.025428000022657216,0.08849512494634837
2,2025-01-03,89336.33978274229,89336.33978274229,0.0,0.0,1398.578686607488,5399.001872178166,0.001293191076358554,0.3261015419848263,0.08249179099220783
3,2025-01-04,48966.52223212733,48966.52223212733,0.0,0.0,5399.001872178166,2364.1354709427965,0.009495299157457058,5.016171625000425,0.3504053339129314
4,2025-01-05,107941.23713082488,50227.33748526106,57713.89964556383,11666.902696666795,2364.1354709427965,1200.0,0.001950386546156279,2.997441209037788,0.23197083303239197
5,2025-01-06,97603.6109491767,97603.6109491767,0.0,0.0,1200.0,8712.72575331088,0.0018940627954416958,2.027169542037882,0.43969849997665733
6,2025-01-07,91170.8881595644,91170.8881595644,0.0,0.0,8712.72575331088,9517.86251520078,0.0006954245479492273,0.30905733397230506,2.325227291905321
7,2025-01-08,86126.48693025883,85805.0103284005,321.476601858334,150.2647000000003,9517.86251520078,2905.838917292535,0.0019756135450324634,0.15386924997437745,0.34683737496379763
8,2025-01-09,87526.87751917407,87400.57337559076,126.3041435833182,59.58716666665953,2905.838917292535,3521.354704137981,0.0014675376936787987,0.2552915830165148,0.30757429206278175
9,2025-01-10,58860.27633264291,58860.27633264291,0.0,0.0,3521.354704137981,9351.08876610717,1.1015875180659374e-05,1.4624215409858152,0.3514488749206066
10,2025-01-11,48189.21892381382,48189.21892381382,0.0,0.0,9351.08876610717,6501.597947436773,7.297135416485261e-05,2.1688840829301625,2.2594083750154823
11,2025-01-12,75315.73076910267,75167.24897087365,148.4817982290063,37.30883952105171,6501.597947436773,5962.476620016076,0.0005379650288934097,2.081517666927539,2.463084666058421
12,2025-01-13,72193.30573207074,72073.73185192721,119.5738801435401,41.39622412878384,5962.476620016076,5887.780758196604,0.0013228151982458312,0.28397945896722376,2.211257499991916
13,2025-01-14,69969.97906840747,69412.32165845764,557.6574099498256,161.09963409188055,5887.780758196604,5860.876182803525,0.0003390062743397696,1.4820167500292882,2.028252042015083
14,2025-01-15,71073.48150022235,70819.22920345815,254.25229676418994,67.11626790929245,5860.876182803525,5539.236200833042,0.00025021511698959903,1.345580416964367,2.239744457998313
15,2025-01-16,69310.169704714,68859.64105566907,450.5286490449395,86.08426970433936,5539.236200833042,4914.763915648617,0.0005365431031262792,1.4925449590664357,2.3899122499860823
16,2025-01-17,35263.518345790784,35126.092656652145,137.42568913864233,51.306301191492025,4914.763915648617,5988.17403126098,0.0011815345320709862,1.9874608749523759,2.199308958952315
17,2025-01-18,33537.72837681402,33109.94181685523,427.78655995879376,131.5178622372481,5988.17403126098,5166.9617911066225,0.00047445573727922306,1.6512768330285326,1.5458557920064777
18,2025-01-19,63400.725276474965,63212.81453951706,187.91073695790925,68.01771326906805,5166.9617911066225,3953.7747734394097,0.0005009660945911866,0.9025122909806669,1.5138405420584604
19,2025-01-20,64528.679077482375,64349.043996355154,179.63508112721547,38.18855898037009,3953.7747734394097,5653.531611455311,0.00025734780506651736,1.159142958931625,1.2266977910185233
20,2025-01-21,62652.94514685187,62377.758443467064,275.18670338481263,75.48019083884628,5653.531611455311,5000.8085892867875,0.001427813127491689,0.1295508750481531,1.5439457920147106
21,2025-01-22,62301.23789895185,60201.85654640825,2099.3813525436008,462.2303348619033,5000.8085892867875,5096.214789499877,0.000764737632816608,2.439796125050634,1.4609393749851733
22,2025-01-23,63028.55665030506,62825.046156310505,203.51049399455223,73.89623456580648,5096.214789499877,5129.031785000506,0.00034846096792249805,1.1931265000021085,1.5680361669510603
23,2025-01-24,28836.266109062723,28755.394187395115,80.87192166760939,37.22934789510816,5129.031785000506,6375.357593752947,0.0004806711454336621,0.8609775829827413,1.4064118328969926
24,2025-01-25,26432.28130071681,26306.037883059842,126.2434176569703,50.54394200514315,6375.357593752947,5941.9869951777,0.0008382360146999573,0.9455538330366835,1.293400333961472
