date,name,label,hour,actual_load_kw,actual_pv_kw,forecast_load_kw,forecast_pv_kw,actual_net_kwh,forecast_net_kwh,planned_kwh,emergency_kwh,soc_kwh,total_cost
2025-03-20,no_season,exp004 无季节,0.0,3299.0689,0.0,3705.5739471643456,0.0,549.8448166666667,617.5956578607243,1450.9289911940577,0.0,2177.711007399018,616.3546354592357
2025-03-20,no_season,exp004 无季节,0.16666666666666666,3421.881,0.0,3676.068388013491,0.0,570.3135,612.6780646689152,1446.0113980022486,0.0,2968.280422441113,613.8318384519545
2025-03-20,no_season,exp004 无季节,0.3333333333333333,3683.11,0.0,3608.8681503918224,0.0,613.8516666666667,601.4780250653038,1434.8113583986371,0.0,3758.849837483208,612.5209689003782
2025-03-20,no_season,exp004 无季节,0.5,3476.737,0.0,3659.502788359775,0.0,579.4561666666667,609.9171313932958,1443.2504647266292,0.0,4537.680585402027,616.556598531216
2025-03-20,no_season,exp004 无季节,0.6666666666666666,3302.6695,0.0,3623.939469404245,0.0,550.4449166666667,603.9899115673742,1437.3232449007076,0.0,5328.250000444122,613.8807578970922
2025-03-20,no_season,exp004 无季节,0.8333333333333334,3426.94,0.0,3490.7249622104787,0.0,571.1566666666666,581.7874937017465,1415.1208270350799,0.0,6118.819415486217,606.3792743845318
2025-03-20,no_season,exp004 无季节,1.0,3609.5343,0.0,3455.334093535021,0.0,601.5890499999999,575.8890155891702,575.8890155891702,0.0,6909.388830528312,248.26575462049126
2025-03-20,no_season,exp004 无季节,1.1666666666666667,3668.9025,0.0,3413.504853365686,0.0,611.48375,568.9174755609477,1324.2747625002148,0.0,6882.298615634003,569.7030028275924
2025-03-20,no_season,exp004 无季节,1.3333333333333333,3589.3,0.0,3366.8338248247255,0.0,598.2166666666667,561.138970804121,1394.4723041374543,0.0,7558.511544193472,596.6946989404167
2025-03-20,no_season,exp004 无季节,1.5,3503.6157,0.0,3457.600787269805,0.0,583.9359499999999,576.2667978783008,576.2667978783008,0.0,8313.905968440573,248.48624324512335
2025-03-20,no_season,exp004 无季节,1.6666666666666667,3545.9703,0.0,3650.2213766008977,0.0,590.99505,608.3702294334829,608.3702294334829,0.0,8305.82197229828,263.60682041352817
2025-03-20,no_season,exp004 无季节,1.8333333333333333,3590.66,0.0,3749.44369789173,0.0,598.4433333333333,624.9072829819551,624.9072829819551,0.0,8322.305514827456,269.3975296935208
