name,seed,month,planned_cost,emergency_cost,total_cost,planned_kwh,emergency_kwh,label,date
causal_season,42,2,1180872.7323726031,758.9959148642504,1181631.7282874675,1951872.9873384081,168.17213479979827,exp004 历史季节,2025-02-01
causal_season,42,3,1065767.0427526366,37691.60416826504,1103458.6469209017,1804951.4982707542,6078.534031783402,exp004 历史季节,2025-03-01
causal_season,42,4,908197.2480088494,15650.888469567484,923848.1364784171,1569409.9790296487,2621.259723139528,exp004 历史季节,2025-04-01
causal_season,42,5,895149.0501449546,91854.38730259889,987003.4374475534,1541560.3103809291,16651.307465849444,exp004 历史季节,2025-05-01
causal_season,42,6,1167545.0685303935,249440.85171396754,1416985.9202443613,1922411.3749845738,44477.19080753505,exp004 历史季节,2025-06-01
causal_season,42,7,1369698.6504190199,273213.6849282369,1642912.3353472566,2200316.057532259,51822.99942582121,exp004 历史季节,2025-07-01
causal_season,42,8,1218965.052380096,37247.20087073204,1256212.253250828,1966530.5813967898,6185.124400772565,exp004 历史季节,2025-08-01
causal_season,42,9,1080323.5737972285,39372.93321777596,1119696.5070150043,1762671.4696016214,6654.320054920594,exp004 历史季节,2025-09-01
causal_season,42,10,1070742.8053173206,19457.574003853493,1090200.3793211742,1787269.239009618,3326.1993895468763,exp004 历史季节,2025-10-01
causal_season,42,11,1217163.7301252894,3172.9708430231035,1220336.7009683126,1989883.8385965559,627.1827299019355,exp004 历史季节,2025-11-01
causal_season,42,12,1553532.7511618815,130326.60954768206,1683859.3607095634,2510843.109774369,24330.098925835176,exp004 历史季节,2025-12-01
causal_season,2026,2,1168790.5767243367,4331.314706461934,1173121.8914307987,1937320.8265394806,896.8819896952128,exp004 历史季节,2025-02-01
causal_season,2026,3,1063315.0795406667,41129.68093052026,1104444.760471187,1800905.6830151377,6617.248071922744,exp004 历史季节,2025-03-01
causal_season,2026,4,903470.6702832138,19732.728010262104,923203.3982934759,1561515.4640788175,3315.451604294639,exp004 历史季节,2025-04-01
causal_season,2026,5,895447.5669143368,87243.17196789359,982690.7388822304,1538458.6131279282,15991.378952411947,exp004 历史季节,2025-05-01
causal_season,2026,6,1174045.6087886486,236285.66125253987,1410331.2700411885,1931082.8974819162,42411.3125478576,exp004 历史季节,2025-06-01
causal_season,2026,7,1379141.4006209043,233802.42051928068,1612943.821140185,2210669.2238799618,44012.57322825851,exp004 历史季节,2025-07-01
causal_season,2026,8,1202540.0845391853,52655.30587740418,1255195.3904165893,1931282.5149627333,8096.4552344199465,exp004 历史季节,2025-08-01
causal_season,2026,9,1081238.5947055886,39085.9393214385,1120324.5340270272,1763076.346044492,6303.230872428524,exp004 历史季节,2025-09-01
causal_season,2026,10,1082077.835574834,10828.962005328898,1092906.7975801628,1799196.7585379689,1676.2018501488637,exp004 历史季节,2025-10-01
causal_season,2026,11,1205752.5400836014,9919.449614064968,1215671.9896976664,1974877.7072399075,1982.8223302295562,exp004 历史季节,2025-11-01
causal_season,2026,12,1567539.712674666,105165.52486944523,1672705.2375441112,2523381.919666592,20232.488445823692,exp004 历史季节,2025-12-01
causal_season,3407,2,1171948.7584179235,1510.15702444358,1173458.915442367,1938133.994437696,351.3060146771708,exp004 历史季节,2025-02-01
causal_season,3407,3,1053346.2435800117,48207.06846081211,1101553.3120408237,1788416.3057204878,7702.33999077303,exp004 历史季节,2025-03-01
causal_season,3407,4,905561.7702270718,14482.027869781658,920043.7980968534,1564568.801845563,2540.0105123104267,exp004 历史季节,2025-04-01
causal_season,3407,5,900462.4670669375,81621.02079985592,982083.4878667935,1549130.3234134384,15151.270105325337,exp004 历史季节,2025-05-01
causal_season,3407,6,1167517.861171421,255835.09535101766,1423352.9565224387,1922127.962163418,45497.48081853258,exp004 历史季节,2025-06-01
causal_season,3407,7,1373366.451582064,260712.97351992127,1634079.4251019852,2202622.503368571,49510.303877082515,exp004 历史季节,2025-07-01
causal_season,3407,8,1203498.0509736177,46694.61017104276,1250192.6611446606,1924521.4787947573,7166.248164042006,exp004 历史季节,2025-08-01
causal_season,3407,9,1060965.1293362577,51438.51906137848,1112403.6483976361,1733808.6152815153,8630.252214078442,exp004 历史季节,2025-09-01
causal_season,3407,10,1085704.6768951556,11237.933034975802,1096942.6099301314,1806564.211465091,1781.4774629427095,exp004 历史季节,2025-10-01
causal_season,3407,11,1217987.6164690459,9161.31517009317,1227148.9316391393,1996038.2383777266,1784.80985371225,exp004 历史季节,2025-11-01
causal_season,3407,12,1559457.1511890676,118747.69160770232,1678204.84279677,2514344.5574332345,22552.366607479642,exp004 历史季节,2025-12-01
no_season,42,2,1184901.7092585657,652.4813841370021,1185554.1906427026,1957645.4487969615,144.57172815809793,exp004 无季节,2025-02-01
no_season,42,3,1070587.5273563147,33655.050524846694,1104242.5778811614,1813047.7778994048,5434.059584619142,exp004 无季节,2025-03-01
no_season,42,4,899255.450393442,21519.594169740725,920775.0445631826,1554562.2942785646,3512.231780740335,exp004 无季节,2025-04-01
no_season,42,5,880444.8807087031,109844.48790895981,990289.3686176628,1517082.5425576754,19572.729843804937,exp004 无季节,2025-05-01
no_season,42,6,1167015.7649830154,254127.03175907393,1421142.7967420893,1924658.1617140165,45728.65042283636,exp004 无季节,2025-06-01
no_season,42,7,1364289.5360090772,286071.81558486854,1650361.3515939459,2192362.8753287722,54182.074750524764,exp004 无季节,2025-07-01
no_season,42,8,1231519.7522988834,23918.292402615123,1255438.0447014987,1980728.4310495579,4037.114478217825,exp004 无季节,2025-08-01
no_season,42,9,1101170.5231465905,18981.422721914838,1120151.9458685052,1786766.0870296902,2954.9073320888006,exp004 无季节,2025-09-01
no_season,42,10,1113396.6363941112,168.6225079020456,1113565.2589020133,1841997.8986784667,35.99968144791751,exp004 无季节,2025-10-01
no_season,42,11,1180689.0428262146,33574.18824899029,1214263.231075205,1943465.332345002,6311.118598222239,exp004 无季节,2025-11-01
no_season,42,12,1536570.5431136966,99233.47921186213,1635804.022325559,2484830.76199438,18998.707220080796,exp004 无季节,2025-12-01
no_season,2026,2,1173375.1366300837,1876.213155312543,1175251.349785396,1942882.4441237473,432.58227846687276,exp004 无季节,2025-02-01
no_season,2026,3,1068027.0903050608,36608.81879174589,1104635.9090968068,1809201.44920669,5890.800225273332,exp004 无季节,2025-03-01
no_season,2026,4,895978.8952195835,25254.252861666093,921233.1480812496,1548904.6994064522,4140.066221060732,exp004 无季节,2025-04-01
no_season,2026,5,878263.5134618365,99292.71561453442,977556.229076371,1507834.2613607626,17932.965975094292,exp004 无季节,2025-05-01
no_season,2026,6,1168089.0373106112,250024.67186396208,1418113.7091745734,1922720.7453166733,44511.54764415967,exp004 无季节,2025-06-01
no_season,2026,7,1381693.8639014435,243995.3650659839,1625689.2289674275,2213382.927512583,45848.26573936323,exp004 无季节,2025-07-01
no_season,2026,8,1215200.3390147141,33167.4607406861,1248367.7997554003,1945592.4470451022,5116.755627928297,exp004 无季节,2025-08-01
no_season,2026,9,1120996.7284417935,10885.674135280886,1131882.4025770742,1810622.0207969423,1711.7139576303634,exp004 无季节,2025-09-01
no_season,2026,10,1074941.37967487,16309.420464367053,1091250.8001392372,1781599.2615963006,2892.1391275906644,exp004 无季节,2025-10-01
no_season,2026,11,1204744.3281527478,9658.039124371433,1214402.3672771193,1974658.5929346436,1924.1040230105834,exp004 无季节,2025-11-01
no_season,2026,12,1535397.252805092,108087.53674385033,1643484.7895489421,2485093.5559536256,20525.308675011423,exp004 无季节,2025-12-01
