variant,model_seed,interval_end,date,phase,charge_kw,discharge_kw,net_charge_kw,delta_power_kw
exp003,42,2025-04-15 00:10:00,2025-04-15,evaluation,5000.0,0.0,5000.0,4851.929931640625
exp003,42,2025-04-15 00:20:00,2025-04-15,evaluation,5000.0,0.0,5000.0,0.0
exp003,42,2025-04-15 00:30:00,2025-04-15,evaluation,5000.0,0.0,5000.0,0.0
exp003,42,2025-04-15 00:40:00,2025-04-15,evaluation,5000.0,0.0,5000.0,0.0
exp003,42,2025-04-15 00:50:00,2025-04-15,evaluation,5000.0,0.0,5000.0,0.0
exp003,42,2025-04-15 01:00:00,2025-04-15,evaluation,5000.0,0.0,5000.0,0.0
exp003,42,2025-04-15 01:10:00,2025-04-15,evaluation,63.41064140624985,0.0,63.41064140624985,-4936.58935859375
exp003,42,2025-04-15 01:20:00,2025-04-15,evaluation,4894.412414062501,0.0,4894.412414062501,4831.001772656251
exp003,42,2025-04-15 01:30:00,2025-04-15,evaluation,4871.53994140625,0.0,4871.53994140625,-22.872472656250466
exp003,42,2025-04-15 01:40:00,2025-04-15,evaluation,0.0,15.416638671874807,-15.416638671874807,-4886.956580078126
exp003,42,2025-04-15 01:50:00,2025-04-15,evaluation,49.697443359374574,0.0,49.697443359374574,65.11408203124938
exp003,42,2025-04-15 02:00:00,2025-04-15,evaluation,4907.637805701623,0.0,4907.637805701623,4857.940362342248
exp003,42,2025-04-15 02:10:00,2025-04-15,evaluation,5000.0,0.0,5000.0,92.36219429837729
exp003,42,2025-04-15 02:20:00,2025-04-15,evaluation,0.0,54.951332031249876,-54.951332031249876,-5054.95133203125
exp003,42,2025-04-15 02:30:00,2025-04-15,evaluation,0.0,152.19000000000005,-152.19000000000005,-97.23866796875018
exp003,42,2025-04-15 02:40:00,2025-04-15,evaluation,145.02659687499977,0.0,145.02659687499977,297.2165968749998
exp003,42,2025-04-15 02:50:00,2025-04-15,evaluation,194.04108867187506,0.0,194.04108867187506,49.01449179687529
exp003,42,2025-04-15 03:00:00,2025-04-15,evaluation,0.0,90.13004882812538,-90.13004882812538,-284.17113750000044
exp003,42,2025-04-15 03:10:00,2025-04-15,evaluation,0.0,137.15886874999978,-137.15886874999978,-47.0288199218744
exp003,42,2025-04-15 03:20:00,2025-04-15,evaluation,0.0,10.588378124999963,-10.588378124999963,126.57049062499982
exp003,42,2025-04-15 03:30:00,2025-04-15,evaluation,127.70994140624975,0.0,127.70994140624975,138.29831953124972
exp003,42,2025-04-15 03:40:00,2025-04-15,evaluation,178.95058046875033,0.0,178.95058046875033,51.24063906250058
exp003,42,2025-04-15 03:50:00,2025-04-15,evaluation,33.11011367187484,0.0,33.11011367187484,-145.8404667968755
exp003,42,2025-04-15 04:00:00,2025-04-15,evaluation,0.0,132.5899023437505,-132.5899023437505,-165.70001601562535
exp003,42,2025-04-15 04:10:00,2025-04-15,evaluation,18.473587499997848,0.0,18.473587499997848,151.06348984374836
exp003,42,2025-04-15 04:20:00,2025-04-15,evaluation,297.6445167968752,0.0,297.6445167968752,279.1709292968774
exp003,42,2025-04-15 04:30:00,2025-04-15,evaluation,390.4100390624999,0.0,390.4100390624999,92.76552226562467
exp003,42,2025-04-15 04:40:00,2025-04-15,evaluation,145.221716799128,0.0,145.221716799128,-245.1883222633719
exp003,42,2025-04-15 04:50:00,2025-04-15,evaluation,7.3945664062496235,0.0,7.3945664062496235,-137.82715039287837
exp003,42,2025-04-15 05:00:00,2025-04-15,evaluation,109.6299609375003,0.0,109.6299609375003,102.23539453125068
exp003,42,2025-04-15 05:10:00,2025-04-15,evaluation,154.96535503444647,0.0,154.96535503444647,45.335394096946175
exp003,42,2025-04-15 05:20:00,2025-04-15,evaluation,0.0,12.07902890624996,-12.07902890624996,-167.04438394069643
exp003,42,2025-04-15 05:30:00,2025-04-15,evaluation,4813.419921875,0.0,4813.419921875,4825.49895078125
exp003,42,2025-04-15 05:40:00,2025-04-15,evaluation,4133.039513062259,0.0,4133.039513062259,-680.3804088127408
exp003,42,2025-04-15 05:50:00,2025-04-15,evaluation,0.0,3715.6665000000003,-3715.6665000000003,-7848.706013062259
exp003,42,2025-04-15 06:00:00,2025-04-15,evaluation,0.0,4279.02,-4279.02,-563.3535000000002
exp003,42,2025-04-15 06:10:00,2025-04-15,evaluation,0.0,4178.2706,-4178.2706,100.7494000000006
exp003,42,2025-04-15 06:20:00,2025-04-15,evaluation,0.0,3757.7182000000003,-3757.7182000000003,420.5523999999996
exp003,42,2025-04-15 06:30:00,2025-04-15,evaluation,0.0,3417.0225,-3417.0225,340.6957000000002
exp003,42,2025-04-15 06:40:00,2025-04-15,evaluation,0.0,3212.4779,-3212.4779,204.54460000000017
exp003,42,2025-04-15 06:50:00,2025-04-15,evaluation,0.0,2988.6714,-2988.6714,223.8064999999997
exp003,42,2025-04-15 07:00:00,2025-04-15,evaluation,0.0,2616.4775,-2616.4775,372.1939000000002
exp003,42,2025-04-15 07:10:00,2025-04-15,evaluation,0.0,2100.6788,-2100.6788,515.7986999999998
exp003,42,2025-04-15 07:20:00,2025-04-15,evaluation,0.0,1666.6448999999998,-1666.6448999999998,434.03390000000036
exp003,42,2025-04-15 07:30:00,2025-04-15,evaluation,0.0,1345.67,-1345.67,320.9748999999997
exp003,42,2025-04-15 07:40:00,2025-04-15,evaluation,0.0,1106.1411999999996,-1106.1411999999996,239.5288000000005
exp003,42,2025-04-15 07:50:00,2025-04-15,evaluation,0.0,1599.3029000000006,-1599.3029000000006,-493.161700000001
exp003,42,2025-04-15 08:00:00,2025-04-15,evaluation,0.0,2306.3149999999996,-2306.3149999999996,-707.012099999999
exp003,42,2025-04-15 08:10:00,2025-04-15,evaluation,0.0,1932.6398000000008,-1932.6398000000008,373.67519999999877
exp003,42,2025-04-15 08:20:00,2025-04-15,evaluation,0.0,1406.1671999999999,-1406.1671999999999,526.472600000001
exp003,42,2025-04-15 08:30:00,2025-04-15,evaluation,0.0,1112.8024999999998,-1112.8024999999998,293.3647000000001
exp003,42,2025-04-15 08:40:00,2025-04-15,evaluation,0.0,547.8107,-547.8107,564.9917999999998
exp003,42,2025-04-15 08:50:00,2025-04-15,evaluation,0.0,72.58230000000003,-72.58230000000003,475.22839999999997
exp003,42,2025-04-15 09:00:00,2025-04-15,evaluation,194.4425000000001,0.0,194.4425000000001,267.02480000000014
exp003,42,2025-04-15 09:10:00,2025-04-15,evaluation,503.5504999999994,0.0,503.5504999999994,309.10799999999927
exp003,42,2025-04-15 09:20:00,2025-04-15,evaluation,708.8798999999999,0.0,708.8798999999999,205.32940000000053
exp003,42,2025-04-15 09:30:00,2025-04-15,evaluation,918.9950000000008,0.0,918.9950000000008,210.1151000000009
