scenario,date,planned_kwh,final_kwh,total_cost,emergency_kwh,initial_soc,final_soc,plan_10,grid_10,plan_12,grid_12,plan_14,grid_14,plan_16,grid_16,plan_18,grid_18,plan_20,grid_20,label,name
2,2025-03-20,66406.0834624074,66406.0834624074,41372.41015171298,176.69017483993696,2177.711007399018,1627.769444850836,0.0,0.0,570.7112944937248,570.7112944937248,0.0,0.0,456.2507482118275,456.2507482118275,554.008050380918,554.008050380918,0.0,0.0,exp004 无季节,no_season
2,2025-06-21,33694.83362527643,33694.83362527643,19325.980331664585,0.0,1998.155611434894,2580.247533608461,0.0,0.0,0.0,0.0,0.0,0.0,163.2592780653115,163.2592780653115,0.0,0.0,0.0,0.0,exp004 无季节,no_season
2,2025-09-23,70500.93727025222,70500.93727025222,43671.24221087258,16.609366666666688,1526.5320559022489,2081.9367749448884,0.0,0.0,534.1156064811024,534.1156064811024,0.0,0.0,607.6627176990638,607.6627176990638,784.9695974217587,784.9695974217587,0.0,0.0,exp004 无季节,no_season
2,2025-12-21,94135.7061850685,94135.7061850685,60391.56534719275,69.95264313754774,1883.9757243011063,1929.0570293624016,0.0,0.0,967.1977767989682,967.1977767989682,0.0,0.0,813.5887510444223,813.5887510444223,577.5566497324171,577.5566497324171,0.0,0.0,exp004 无季节,no_season
2,2025-03-20,66126.04658350945,66126.04658350945,41053.63418316789,153.68715109969787,2212.5238595295896,1649.3930015107046,0.0,0.0,568.0497472394726,568.0497472394726,0.0,0.0,456.4665158489213,456.4665158489213,566.4153032976712,566.4153032976712,0.0,0.0,exp004 历史季节,causal_season
2,2025-06-21,33857.13770746204,33857.13770746204,19504.01712534171,0.0,2068.360768631446,2717.627525436135,0.0,0.0,0.0,0.0,0.0,0.0,169.5077615383052,169.5077615383052,0.0,0.0,0.0,0.0,exp004 历史季节,causal_season
2,2025-09-23,69588.14584944764,69588.14584944764,43022.402566679586,49.45195852887457,1454.2179916705286,1804.596291909418,0.0,0.0,544.6478644459405,544.6478644459405,0.0,0.0,589.2065648466407,589.2065648466407,776.1457563629712,776.1457563629712,0.0,0.0,exp004 历史季节,causal_season
2,2025-12-21,94868.10988641351,94868.10988641351,60812.05647725357,0.0,1794.498568481939,1864.817956821475,0.0,0.0,946.333715608714,946.333715608714,0.0,0.0,812.2962309515701,812.2962309515701,584.2926737294014,584.2926737294014,0.0,0.0,exp004 历史季节,causal_season
2,2025-03-20,66490.77343667569,66490.77343667569,40541.869105162434,30.37773590509778,2259.41750745481,1690.4333825426115,0.0,0.0,563.2831912689253,563.2831912689253,0.0,0.0,461.64286563817967,461.64286563817967,617.0217681782062,617.0217681782062,0.0,0.0,exp004 全年探索,oracle_season
2,2025-06-21,34220.23844001378,34220.23844001378,19766.7557432878,0.0,2166.9110357337386,2895.7971770632885,0.0,0.0,0.0,0.0,0.0,0.0,172.7169105639115,172.7169105639115,0.0,0.0,0.0,0.0,exp004 全年探索,oracle_season
2,2025-09-23,70336.71291070507,70336.71291070507,43375.071151747616,16.609366666666688,1374.2832506870725,2192.4927351849615,0.0,0.0,543.1616574196767,543.1616574196767,0.0,0.0,579.6290241626865,579.6290241626865,790.8874889844093,790.8874889844093,0.0,0.0,exp004 全年探索,oracle_season
2,2025-12-21,94880.1626320311,94880.1626320311,60820.87419577218,0.0,1790.205158863797,1860.7474808723716,0.0,0.0,946.395969551944,946.395969551944,0.0,0.0,812.2836691130691,812.2836691130691,582.7732819083994,582.7732819083994,0.0,0.0,exp004 全年探索,oracle_season
