day,date,scenario,planned_cost,up_cost,down_cost,emergency_cost,total_cost,emergency_kwh,throughput_kwh,initial_soc,final_soc,seconds
31,2025-02-01,3,21168.359660615104,0.0,0.0,0.0,21168.359660615104,0.0,34618.18703883168,1507.622628752613,2432.3135071105485,0.24819558300077915
32,2025-02-02,3,44034.98999218237,7885.030470900315,0.0,6941.5010635260005,58861.52152660869,1343.3318809601997,40288.432698494355,2432.3135071105485,1392.0663656096706,0.21572904207278043
33,2025-02-03,3,54077.726674624624,0.0,0.0,0.0,54077.72667462463,0.0,44385.102015826735,1392.0663656096706,2008.6955745881326,0.22918091691099107
34,2025-02-04,3,55106.15810195085,415.73252721529,0.0,151.97486191118247,55673.86549107732,72.07099961114363,44198.68221255279,2008.6955745881326,1290.6617387118454,0.23299566702917218
35,2025-02-05,3,47189.83091749071,7198.553495365146,0.0,1561.8560307382597,55950.24044359413,321.27314113999654,44225.07659864686,1290.6617387118454,1528.0598318040793,0.24101729202084243
36,2025-02-06,3,52932.04528062834,850.648784182073,0.0,729.8797529458045,54512.57381775622,145.93890033715113,45690.80878946952,1528.0598318040793,1430.656763729499,0.220820666057989
37,2025-02-07,3,19867.44167778967,0.0,0.0,0.0,19867.44167778967,0.0,34841.77977204209,1430.656763729499,1669.0563929653167,0.22306433296762407
38,2025-02-08,3,15827.966688165914,4067.790396201404,0.0,198.60763196513102,20094.36471633245,36.787648953537534,31982.697432784065,1669.0563929653167,1599.2201498562238,0.23335333401337266
39,2025-02-09,3,49395.00424465287,3403.184112028553,0.0,91.46794212858293,52889.656298810005,19.145932490565965,44092.50617661814,1599.2201498562238,1201.057338853659,0.23336562502663583
40,2025-02-10,3,46805.93694389907,1509.6361071827096,0.0,4.258434288705491,48319.83148537048,1.0969691624692146,42205.865883216975,1201.057338853659,1242.2078051960843,0.22433999995701015
41,2025-02-11,3,46982.36228327335,1825.8175252657493,0.0,4278.776089555361,53086.95589809446,804.4782627237057,43563.1899397325,1242.2078051960843,1580.1404618625882,0.22822829196229577
42,2025-02-12,3,49058.02433610194,321.7484810590366,0.0,0.0,49379.77281716098,0.0,42202.68990372404,1580.1404618625882,1663.6788018180957,0.21632991591468453
43,2025-02-13,3,43236.24806474972,3301.435677930382,0.0,823.2530632454033,47360.93680592551,143.0243638564633,41290.197889444236,1663.6788018180957,1307.2538445522932,0.23915779194794595
44,2025-02-14,3,17010.34081372693,2455.0246240251354,0.0,0.0,19465.365437752065,0.0,33073.13183946845,1307.2538445522932,2215.628682655074,0.223704208037816
45,2025-02-15,3,17160.97803161013,821.5415260959558,0.0,0.0,17982.519557706088,0.0,30310.45966521492,2215.628682655074,1463.976458675353,0.2209983749780804
46,2025-02-16,3,47476.91200681083,1107.275753725026,0.0,1732.4943571499882,50316.68211768585,373.9062667005879,42153.78880678247,1463.976458675353,1469.0107729893405,0.22743116598576307
47,2025-02-17,3,47766.45815138426,1751.031836714694,0.0,0.0,49517.489988098954,0.0,37570.14663329748,1469.0107729893405,1617.154854750805,0.22261133301071823
48,2025-02-18,3,41469.442497444215,7999.751684857902,0.0,0.0,49469.19418230212,0.0,38374.82838716774,1617.154854750805,1524.1334953183905,0.2326460840413347
49,2025-02-19,3,42360.16974335267,5872.108271605918,0.0,3357.7430485096793,51590.021063468266,705.5762733294837,43276.2846702276,1524.1334953183905,1200.0,0.24187787505798042
50,2025-02-20,3,44845.71760046852,1256.0249611985587,0.0,16.97949467651723,46118.7220563436,3.6249988634750707,40562.113543356354,1200.0,1549.731796923501,0.2322159999748692
51,2025-02-21,3,16525.02659456323,2304.462072943199,0.0,0.0,18829.488667506434,0.0,30833.11878780625,1549.731796923501,2180.4557130023813,0.21453920798376203
52,2025-02-22,3,16010.285440150154,2209.1778807257406,0.0,0.0,18219.463320875897,0.0,29544.726651536,2180.4557130023813,1815.1550036234712,0.20546316693071276
53,2025-02-23,3,42144.57242489647,4179.605658752984,0.0,694.2617885830381,47018.4398722325,197.8167717552758,41832.84916322658,1815.1550036234712,1200.0,0.2249679999658838
54,2025-02-24,3,43893.95466375255,1002.8053570623149,0.0,0.0,44896.760020814865,0.0,39027.73645855575,1200.0,1516.66329315342,0.23741416598204523
55,2025-02-25,3,42733.59039639386,714.6928217981749,0.0,383.42117525687144,43831.70439344891,84.12418660420762,37562.59389431258,1516.66329315342,1221.2604039761525,0.21367529209237546
56,2025-02-26,3,39048.10994676576,8487.844253541856,0.0,0.0,47535.95420030762,0.0,41302.16571857766,1221.2604039761525,1937.9904866769346,0.23085125000216067
57,2025-02-27,3,39502.90982294662,4794.381767406877,0.0,571.6448665181915,44868.936456871685,110.36928749623246,40479.13740206772,1937.9904866769346,1238.0115110452598,0.21836795890703797
58,2025-02-28,3,16357.054318655975,701.5274312136926,0.0,0.0,17058.581749869667,0.0,30093.538570583623,1238.0115110452598,1613.4895594753004,0.22635908296797425
59,2025-03-01,3,16090.772201038964,593.6949525922286,0.0,267.4881312671136,16951.955284898308,58.0021202667816,29121.34343603984,1613.4895594753004,1293.6258901582517,0.2206529580289498
60,2025-03-02,3,42665.775487232306,7034.520245358399,0.0,0.0,49700.295732590705,0.0,41575.28115394086,1293.6258901582517,1442.3098549757763,0.24702016706578434
61,2025-03-03,3,43325.8225519761,4045.5193871740366,0.0,938.8010332106351,48310.14297236077,248.27463543950256,41672.677601734904,1442.3098549757763,1200.0,0.2272938749520108
62,2025-03-04,3,40195.14992123094,6414.536432889521,0.0,0.0,46609.68635412046,0.0,39705.82206394711,1200.0,1236.0528760231289,0.2241410840069875
63,2025-03-05,3,43374.70167799972,124.05020440847618,0.0,117.22100666132437,43615.97288906952,54.85637404620878,39137.4212655014,1236.0528760231289,1200.0,0.22668508405331522
64,2025-03-06,3,38233.7088297399,6146.606784843887,0.0,0.0,44380.3156145838,0.0,39402.93838242481,1200.0,1339.4301380261534,0.249329625046812
65,2025-03-07,3,15887.319426079828,50.687346807417,0.0,0.0,15938.006772887245,0.0,27975.4288118587,1339.4301380261534,1560.4813432582612,0.2104993750108406
66,2025-03-08,3,14194.975225193266,1934.3462390701332,0.0,471.4509704400988,16600.772434703496,111.34466374686629,26298.814419557617,1560.4813432582612,1313.0864044184714,0.22575762495398521
67,2025-03-09,3,41147.44363202934,1663.1049735228146,0.0,109.85570681679926,42920.40431236896,22.057772857598994,40787.036302445835,1313.0864044184714,1365.2514760478766,0.2424197499640286
68,2025-03-10,3,39251.36535652392,5652.2442847398925,0.0,0.0,44903.609641263814,0.0,40084.04026292741,1365.2514760478766,1461.9076729400551,0.25161008397117257
