timestamp_end,charge_power_kw,discharge_power_kw,net_power_kw,soc_start_kwh,soc_end_kwh,delta_power_kw
2025-02-01 00:10,1250,0,1250,1421.79911051355,1619.44146427408,
2025-02-01 00:20,0,1462.37545305921,-1462.37545305921,1619.44146427408,1362.52828505253,-2712.37545305921
2025-02-01 00:30,0,0,0,1362.52828505253,1362.52828505253,1462.37545305921
2025-02-01 00:40,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 00:50,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 01:00,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 01:10,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 01:20,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 01:30,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 01:40,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 01:50,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 02:00,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 02:10,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 02:20,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 02:30,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 02:40,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 02:50,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 03:00,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 03:10,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 03:20,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 03:30,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 03:40,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 03:50,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 04:00,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 04:10,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 04:20,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 04:30,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 04:40,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 04:50,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 05:00,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 05:10,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 05:20,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 05:30,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 05:40,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 05:50,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 06:00,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 06:10,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 06:20,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 06:30,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 06:40,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 06:50,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 07:00,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 07:10,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 07:20,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 07:30,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 07:40,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 07:50,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 08:00,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 08:10,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 08:20,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 08:30,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 08:40,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 08:50,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 09:00,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 09:10,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 09:20,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 09:30,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 09:40,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 09:50,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 10:00,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 10:10,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 10:20,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 10:30,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 10:40,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 10:50,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 11:00,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 11:10,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 11:20,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 11:30,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 11:40,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 11:50,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 12:00,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 12:10,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 12:20,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 12:30,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 12:40,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 12:50,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 13:00,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 13:10,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 13:20,0,0,0,1362.52828505253,1362.52828505253,0
2025-02-01 13:30,0,0,0,1362.52828505253,1362.52828505253,0
