date,interval,charge_kwh,discharge_kwh
2025-03-20,00:00—04:00,9300.721633723877,0.0
2025-03-20,04:00—08:00,641.9811360257081,6085.474574706603
2025-03-20,08:00—12:00,4580.15017504913,2808.8753700496254
2025-03-20,12:00—16:00,5615.636505977334,201.53711798396532
2025-03-20,16:00—20:00,93.12003989635977,6623.84920948447
2025-03-20,20:00—24:00,13.617614677725216,2500.9309993922634
2025-06-21,00:00—04:00,754.4754601117345,4.1775111900725745
2025-06-21,04:00—08:00,615.2172646904228,1248.052221143899
2025-06-21,08:00—12:00,5245.335093281999,0.0
2025-06-21,12:00—16:00,4529.49916925681,0.0
2025-06-21,16:00—20:00,2.0892070620470236,6669.213721140708
2025-06-21,20:00—24:00,0.0,2440.0262265000674
2025-09-23,00:00—04:00,9309.4492651984,0.0
2025-09-23,04:00—08:00,736.2619100826997,7459.5576734253755
2025-09-23,08:00—12:00,4555.152573517142,1584.992444494956
2025-09-23,12:00—16:00,5623.668505215611,279.7084892614355
2025-09-23,16:00—20:00,262.6357288524558,6715.916203858402
2025-09-23,20:00—24:00,50.04371821906494,2426.2194537156815
2025-12-21,00:00—04:00,8452.606121085295,0.0
2025-12-21,04:00—08:00,1723.3546225708328,996.2004312495491
2025-12-21,08:00—12:00,5187.959940408211,7666.0145498255815
2025-12-21,12:00—16:00,6054.143348072528,1574.243632223057
2025-12-21,16:00—20:00,54.253881709062085,6799.928571109254
2025-12-21,20:00—24:00,42.44998839387701,2326.918079916566
