date,replay_slot,node,hour,charge_kwh,discharge_kwh,overlap_kwh,probability
2025-09-17,36,72,15.0,30.91724363595057,0.0,0.0,0.5
2025-09-17,36,74,15.166666666666666,30.91724363595057,0.0,0.0,0.5
2025-09-17,36,76,15.333333333333334,30.91724363595057,0.0,0.0,0.5
2025-09-17,36,78,15.5,30.91724363595057,0.0,0.0,0.5
2025-09-17,36,80,15.666666666666666,30.91724363595057,0.0,0.0,0.5
2025-09-17,36,82,15.833333333333334,30.91724363595057,0.0,0.0,0.5
2025-09-17,36,84,16.0,30.91724363595057,0.0,0.0,0.5
2025-09-17,36,86,16.166666666666668,30.91724363595057,0.0,0.0,0.5
2025-09-17,36,88,16.333333333333332,30.91724363595057,0.0,0.0,0.5
2025-09-17,36,90,16.5,30.91724363595057,0.0,0.0,0.5
2025-09-17,36,92,16.666666666666668,30.91724363595057,0.0,0.0,0.5
2025-09-17,36,94,16.833333333333332,30.91724363595057,0.0,0.0,0.5
2025-09-17,36,96,17.0,30.91724363595057,0.0,0.0,0.5
2025-09-17,36,98,17.166666666666668,30.91724363595057,0.0,0.0,0.5
2025-09-17,36,100,17.333333333333332,30.91724363595057,0.0,0.0,0.5
2025-09-17,36,102,17.5,30.91724363595057,0.0,0.0,0.5
2025-09-17,36,104,17.666666666666668,30.91724363595057,0.0,0.0,0.5
2025-09-17,36,106,17.833333333333332,25.627736619840903,0.0,0.0,0.5
2025-09-17,36,109,18.0,256.27736619840897,230.6496295785681,230.6496295785681,0.125
2025-09-17,36,113,18.166666666666668,0.0,141.0389300468257,0.0,0.125
2025-09-17,36,117,18.333333333333332,0.0,261.8400580270248,0.0,0.125
2025-09-17,36,121,18.5,0.0,261.8400580270248,0.0,0.125
2025-09-17,36,125,18.666666666666668,0.0,428.50672469369147,0.0,0.125
2025-09-17,36,129,18.833333333333332,0.0,595.1733913603581,0.0,0.125
2025-09-17,36,133,19.0,0.0,660.1811197181712,0.0,0.125
2025-09-17,36,137,19.166666666666668,0.0,660.1811197181712,0.0,0.125
2025-09-17,36,141,19.333333333333332,0.0,660.1811197181712,0.0,0.125
2025-09-17,36,145,19.5,0.0,709.2665185319888,0.0,0.125
2025-09-17,36,149,19.666666666666668,0.0,726.0098166433695,0.0,0.125
2025-09-17,36,153,19.833333333333332,0.0,640.7858041302194,0.0,0.125
2025-09-17,36,157,20.0,0.0,610.9803311282433,0.0,0.125
2025-09-17,36,161,20.166666666666668,0.0,506.6047036509342,0.0,0.125
2025-09-17,36,165,20.333333333333332,0.0,374.07792961432983,0.0,0.125
2025-09-17,36,169,20.5,0.0,207.41126294766318,0.0,0.125
2025-09-17,36,173,20.666666666666668,0.0,83.16403866643724,0.0,0.125
2025-09-17,36,177,20.833333333333332,0.0,83.16403866643724,0.0,0.125
2025-09-17,36,181,21.0,0.0,83.16403866643724,0.0,0.125
