date,interval,emergency_kwh
2025-03-20,00:20—00:30,30.79863581696003
2025-03-20,00:50—01:40,213.07962784196644
2025-03-20,01:50—02:10,31.003264839048043
2025-03-20,02:30—02:50,9.953205589137509
2025-03-20,03:00—04:10,139.51586220939663
2025-03-20,04:20—04:40,15.186812168152391
2025-03-20,04:50—05:20,66.1869796096071
2025-03-20,05:50—06:10,35.035432391560896
2025-03-20,07:20—07:30,9.486765450127336
2025-03-20,11:00—11:30,117.04152233570844
2025-03-20,12:20—13:10,751.4910242151708
2025-03-20,14:50—17:30,1375.9720943435373
2025-03-20,18:40—19:00,23.852297426244146
2025-03-20,20:10—20:30,21.790433566618503
2025-03-20,21:10—21:50,128.4815810544864
2025-03-20,22:50—23:00,5.899642834288114
2025-03-20,23:30—24:00,69.76744660682238
2025-06-21,00:20—00:30,12.863590820026545
2025-06-21,01:50—02:10,8.016659181149391
2025-06-21,02:50—03:30,73.72393265086927
2025-06-21,03:50—04:10,20.54963059286576
2025-06-21,04:30—04:50,19.702207445904996
2025-06-21,05:00—06:00,103.71176193132914
2025-06-21,06:40—07:20,267.02288671932536
2025-06-21,22:20—22:30,4.764173415912339e-05
2025-06-21,23:50—24:00,4.6772684752104775e-05
2025-09-23,00:30—01:10,86.3913803211554
2025-09-23,01:30—01:40,12.504427756270282
2025-09-23,02:00—02:30,75.96615282091551
2025-09-23,03:50—04:00,16.485322367973886
2025-09-23,04:50—05:00,0.34669990130318984
2025-09-23,05:30—06:10,87.68587811130801
2025-09-23,07:20—08:00,214.90837632469157
2025-09-23,08:50—09:50,311.6232721717103
2025-09-23,12:50—13:00,5.704318725774236
2025-09-23,14:40—15:20,344.2367321733468
2025-09-23,16:00—16:50,146.63107058000935
2025-09-23,17:00—17:20,40.53891481763474
2025-09-23,17:30—17:40,2.6674964742476863
2025-09-23,18:40—18:50,2.3635171343254235
2025-09-23,20:00—20:30,88.93078600515418
2025-09-23,20:40—21:30,162.7202208416644
2025-09-23,22:20—22:30,13.210026337354545
2025-09-23,23:30—23:40,28.020123983383815
2025-09-23,23:50—24:00,4.6772684752104775e-05
2025-12-21,00:00—00:30,26.463665890321398
2025-12-21,01:00—01:50,100.06971486585273
2025-12-21,02:00—02:20,39.388990149679486
2025-12-21,03:00—03:20,70.98230209228691
2025-12-21,03:30—04:20,179.88552921446575
2025-12-21,05:00—05:20,6.00289168710548
2025-12-21,05:40—05:50,15.735710157661478
2025-12-21,06:10—06:40,57.586411398638575
2025-12-21,07:40—08:10,152.73023022600165
2025-12-21,10:20—11:20,412.0250283152046
2025-12-21,12:00—12:20,57.80268138506926
2025-12-21,12:30—13:10,167.82128515189603
2025-12-21,15:50—16:00,13.263209034467565
2025-12-21,16:20—16:30,5.116985023373587
2025-12-21,17:30—17:50,22.185348505558977
2025-12-21,18:30—19:00,40.317434203799344
2025-12-21,19:20—19:30,4.212762140934615
2025-12-21,19:40—20:00,9.091842793193567
2025-12-21,20:30—20:50,77.35645479904923
2025-12-21,21:10—21:20,12.04788950460398
2025-12-21,22:50—23:10,12.33295754129487
2025-12-21,23:30—24:00,44.03771067383892
