date,interval,grid_kwh
2025-03-20,10:00—10:10,0.0
2025-03-20,12:00—12:10,529.768382198258
2025-03-20,14:00—14:10,0.0
2025-03-20,16:00—16:10,439.946973308789
2025-03-20,18:00—18:10,646.6893349096337
2025-03-20,20:00—20:10,0.0
2025-06-21,10:00—10:10,0.0
2025-06-21,12:00—12:10,0.0
2025-06-21,14:00—14:10,0.0
2025-06-21,16:00—16:10,135.01608173315464
2025-06-21,18:00—18:10,210.4842007026636
2025-06-21,20:00—20:10,36.62433843229977
2025-09-23,10:00—10:10,0.0
2025-09-23,12:00—12:10,613.0283606588565
2025-09-23,14:00—14:10,0.0
2025-09-23,16:00—16:10,549.3229103574631
2025-09-23,18:00—18:10,720.5481981661785
2025-09-23,20:00—20:10,10.730017410598261
2025-12-21,10:00—10:10,51.136134611594116
2025-12-21,12:00—12:10,894.5003437089925
2025-12-21,14:00—14:10,0.0
2025-12-21,16:00—16:10,812.1787893137813
2025-12-21,18:00—18:10,704.8959855776642
2025-12-21,20:00—20:10,11.278707997233031
