date,hour,actual_load,forecast_load,actual_pv,forecast_pv,actual_price,forecast_price,original,final,emergency,soc,charge,discharge
2025-07-06,0.16666666666666666,4669.9004,4188.8677,0.0,58.761322,0.5713,0.5044914,688.35107421875,688.35107421875,89.96565911458345,1200.0,0.0,0.0
2025-07-06,0.3333333333333333,4642.8066,4017.6453,0.0,55.78805,0.5678,0.51961476,660.3095092773438,660.3095092773438,113.49159072265627,1200.0,0.0,0.0
2025-07-06,0.5,4745.0,4013.6787,0.0,52.514446,0.5376,0.5099043,660.1940307617188,660.1940307617188,130.63930257161462,1200.0,0.0,0.0
2025-07-06,0.6666666666666666,4645.2955,4026.5554,0.0,49.37613,0.5214,0.49849176,662.8632202148438,662.8632202148438,111.35269645182291,1200.0,0.0,0.0
2025-07-06,0.8333333333333334,4593.7136,3961.332,0.0,47.183926,0.5263,0.46551427,652.3580322265625,652.3580322265625,113.2609011067708,1200.0,0.0,0.0
2025-07-06,1.0,4673.77,3842.1125,0.0,44.907238,0.5329,0.44506788,1466.200887044271,1466.200887044271,0.0,1818.5152983398439,687.2392203776043,0.0
2025-07-06,1.1666666666666667,4680.4692,3791.6316,0.0,42.431606,0.5205,0.49711895,624.8666381835938,624.8666381835938,0.0,1646.0580074327258,0.0,155.21156181640617
2025-07-06,1.3333333333333333,4540.0171,3883.7297,0.0,39.76027,0.5342,0.5239515,640.6615600585938,640.6615600585938,0.0,1517.1602778682004,0.0,116.00795660807296
2025-07-06,1.5,4416.47,3931.818,0.0,36.93194,0.5632,0.48044562,649.147705078125,649.147705078125,0.0,1420.570690917969,0.0,86.93062825520838
2025-07-06,1.6666666666666667,4524.1702,3732.0945,0.0,34.944855,0.5502,0.43500304,1449.5249226888022,1449.5249226888022,0.0,2046.5175913378912,695.4965560221357,0.0
2025-07-06,1.8333333333333333,4497.7458,3933.1472,0.0,32.807476,0.5391,0.45574817,1483.3899739583335,1483.3899739583335,0.0,2706.9066979003915,733.7656739583335,0.0
2025-07-06,2.0,4400.63,4264.213,0.0,30.523561,0.5508,0.5097985,705.6149291992188,705.6149291992188,0.0,2675.9918044180417,0.0,27.82340413411464
