run_id,role,scenario,day,date,month,forecast,forecast_seed,seed,rl_seed,planned_cost,up_cost,down_cost,emergency_cost,total_cost,planned_kwh,final_kwh,emergency_kwh,emergency_minutes,surplus_kwh,charge_kwh,discharge_kwh,throughput_kwh,equivalent_full_cycles,direction_reversals,direction_reversals_including_warmup_boundary,simultaneous_slots,charging_slots,discharging_slots,active_slots,power_changes_count,power_ramp_total_kw,power_ramp_total_kw_including_warmup_boundary,power_ramp_max_kw_per_10min,power_ramp_p95_kw_per_10min,mean_absolute_power_kw,max_charge_kw,max_discharge_kw,initial_soc,final_soc,initial_mode,final_mode,initial_power_kw,final_power_kw,risk_seconds,planning_seconds,execution_seconds,compute_seconds,shaped_episode_reward
regularized_42,primary,2,31,2025-02-01,2,no_season,42,42,42,51964.196577651644,0.0,0.0,0.0,51964.196577651644,66179.52920410043,66179.52920410043,0.0,0,31836.749179610302,208.33333333333334,243.72924217653542,452.0625755098688,0.01893981387425275,1,1,0,1,1,2,2,4174.750906118425,5251.990906118424,2712.3754530592123,0.0,18.83594064624453,1250.0,1462.3754530592125,1421.7991105135516,1362.5282850525332,1,-1,172.75999999999976,0.0,0.017036166973412037,0.04641320800874382,0.00024691608268767595,0.06369629106484354,-51.989402770996094
regularized_42,primary,2,32,2025-02-02,2,no_season,42,42,42,75299.78770937632,0.0,0.0,13.731759152880981,75313.51946852921,101272.13396541322,101272.13396541322,6.248809625884405,10,17084.746709545536,13307.151083475715,7469.79296798215,20776.944051457867,0.8540885466849644,15,16,0,34,21,55,44,61680.70566419624,62874.297454320425,6016.505800000001,3621.520208315362,865.7060021440778,3750.0,4640.194739879561,1362.5282850525332,6112.947119669797,-1,-1,0.0,0.0,0.00362700002733618,0.0259356249589473,0.0002447499427944422,0.029807374929077923,-73.50920104980469
regularized_42,primary,2,33,2025-02-03,2,no_season,42,42,42,63652.497024741686,0.0,0.0,7362.417471573439,71014.91449631512,82740.0541189732,82740.0541189732,2140.294188211986,580,4233.890716693865,7774.1356866468395,7344.594596155507,15118.730282802348,0.6298781314238461,5,6,0,22,18,40,38,33389.08484771097,34467.68931689016,5000.0,2105.9129864924,629.9470951167646,3750.0,5000.0,6112.947119669797,5746.257330898122,-1,-1,0.0,0.0,0.0007458330364897847,0.025568666984327137,0.00023800006601959467,0.026552500086836517,-71.19586181640625
regularized_42,primary,2,34,2025-02-04,2,no_season,42,42,42,66327.68963624511,0.0,0.0,6875.450728605179,73203.14036485029,88300.03384653477,88300.03384653477,1601.4961989572323,380,7630.989342372585,9417.09418091354,8341.417427794124,17758.511608707664,0.7386027483730085,9,10,0,26,21,47,42,48362.181281962316,49612.181281962316,4925.984964080108,2975.4517821084105,739.9379836961526,3750.0,4925.984964080108,5746.257330898122,5887.471301148624,-1,-1,0.0,0.0,0.0008251670515164733,0.025847667013294995,0.00024041696451604366,0.026913251029327512,-73.19380950927734
regularized_42,primary,2,35,2025-02-05,2,no_season,42,42,42,65650.33977327097,0.0,0.0,5605.241511925261,71255.58128519624,86610.6180934956,86610.6180934956,1646.5224215504877,540,7303.709625104246,10628.324271623107,10423.320365014584,21051.64463663769,0.8779190875461796,7,8,0,29,20,49,45,51261.74198084035,52099.963475606135,5119.620529128371,2745.6342045900697,877.1518598599038,3750.0,5000.0,5887.471301148624,4983.24064554777,-1,-1,0.0,0.0,0.0009240410290658474,0.025907083065249026,0.00023670797236263752,0.02706783206667751,-71.66240692138672
regularized_42,primary,2,36,2025-02-06,2,no_season,42,42,42,60429.598390624604,0.0,0.0,6041.041555620579,66470.63994624518,82819.54990348907,82819.54990348907,1690.7780755238932,550,6328.755244780328,11308.774609275477,13398.259091709497,24707.033700984968,1.0354771137579573,3,4,0,30,22,52,43,31904.404484825645,32720.750774080756,5000.0,1297.1084723311617,1029.4597375410403,3750.0,5000.0,4983.24064554777,1588.6811018315236,-1,-1,0.0,0.0,0.0009704170515760779,0.025460666976869106,0.00023083307314664125,0.026661917101591825,-67.85537719726562
regularized_42,primary,2,37,2025-02-07,2,no_season,42,42,42,35916.370566647856,0.0,0.0,3134.698611621287,39051.06917826914,47232.1201090423,47232.1201090423,839.8383551677108,310,16075.273740439898,616.2711737701106,425.2661166666667,1041.5372904367773,0.04303816735053652,2,3,0,2,1,3,4,11300.820442620665,12498.44748524133,3749.223742620664,0.0,43.39738710153239,2500.0,2551.5967,1588.6811018315236,1725.057424670027,-1,1,0.0,0.0,0.0011263750493526459,0.02587416593451053,0.00023383402731269598,0.02723437501117587,-39.00242614746094
regularized_42,primary,2,38,2025-02-08,2,no_season,42,42,42,34173.03896601309,0.0,0.0,2149.0793971774156,36322.11836319051,44966.79024594504,44966.79024594504,717.033401350581,380,14496.95284729562,0.0,390.2919166666666,390.2919166666666,0.01714182512526804,0,1,0,0,1,1,1,2341.7515,4683.503,2341.7515,0.0,16.262163194444444,0.0,2341.7515,1725.057424670027,1313.653621663594,1,-1,0.0,0.0,0.001237125019542873,0.025954624987207353,0.00024300010409206152,0.027434750110842288,-36.484901428222656
regularized_42,primary,2,39,2025-02-09,2,no_season,42,42,42,62126.62370638126,0.0,0.0,7170.132917901705,69296.75662428296,83869.70799912063,83869.70799912063,2318.2972892941916,530,1613.6275497762567,16135.135368763695,11116.1735967918,27251.308965555498,1.1260253852788749,9,10,0,40,20,60,54,55626.85084913682,56750.20422320273,7316.977749011479,2709.993281351374,1135.4712068981455,3750.0,5000.0,1313.653621663594,4903.311247231061,-1,-1,0.0,0.0,0.0013738339766860008,0.025852874969132245,0.00023349991533905268,0.027460208861157298,-67.95817565917969
regularized_42,primary,2,40,2025-02-10,2,no_season,42,42,42,62540.718873134654,0.0,0.0,5120.305249198759,67661.02412233342,83234.80721637177,83234.80721637177,1715.0747130569976,400,8747.174812122274,9956.690426171346,8080.620892198177,18037.311318369524,0.7484778425165666,5,6,0,25,18,43,39,40736.68842290015,41693.79290280327,4764.396011248965,2500.0,751.5546382653969,3750.0,4933.619405559098,4903.311247231061,5831.334849169874,-1,-1,0.0,0.0,0.0014449579175561666,0.025849708006717265,0.00023466604761779308,0.027529331971891224,-67.342529296875
regularized_42,primary,2,41,2025-02-11,2,no_season,42,42,42,59403.38803523815,0.0,0.0,4991.715236889965,64395.103272128115,78818.00586950635,78818.00586950635,1508.7975790325568,470,4786.661704224964,10948.134102442427,10628.589491461815,21576.72359390424,0.8995762084911562,5,6,0,28,19,47,35,41421.99703939769,42427.748463694894,5791.867083664314,2302.813900585598,899.03014974601,3750.0,5000.0,5831.334849169874,5014.129780990886,-1,-1,0.0,0.0,0.0015508750220760703,0.02569758298341185,0.00023383402731269598,0.027482292032800615,-64.76688385009766
regularized_42,primary,2,42,2025-02-12,2,no_season,42,42,42,59840.55673826636,0.0,0.0,4657.418389147017,64497.975127413374,79744.01386530958,79744.01386530958,1410.4424831292981,490,4032.5379905112077,11740.35263866128,9885.170414066943,21625.523052728226,0.8982400409989584,7,8,0,30,18,48,45,52566.213194634925,53816.213194634925,6966.042083426522,2500.7894230186735,901.0634605303427,3750.0,5000.0,5014.129780990886,5732.121720058348,-1,-1,0.0,0.0,0.0016734589589759707,0.025464750011451542,0.0002288329415023327,0.027367041911929846,-64.27137756347656
regularized_42,primary,2,43,2025-02-13,2,no_season,42,42,42,56620.97524600517,0.0,0.0,5665.58149058861,62286.556736593775,77726.96563586872,77726.96563586872,1769.4718580525237,490,10727.355661645888,10042.500034148463,12602.897218539783,22645.39725268825,0.9504905067609951,3,4,0,26,23,49,41,36668.659927431574,37645.25328734621,4532.8125,2079.4036544295495,943.5582188620103,3692.2558338070894,4992.362366615457,5732.121720058348,1974.6536639311832,-1,-1,0.0,0.0,0.0017607499612495303,0.025658041005954146,0.00023283297196030617,0.027651623939163983,-63.81018829345703
regularized_42,primary,2,44,2025-02-14,2,no_season,42,42,42,32213.107196362867,0.0,0.0,3245.5288846481294,35458.636081011,42764.714076876146,42764.714076876146,918.8311306239231,440,14395.58299348685,0.0,513.8396026534504,513.8396026534504,0.02256810411640004,0,0,0,0,2,2,2,2507.4053,5014.8106,1931.7729840792979,0.0,21.40998344389376,0.0,2507.4053,1974.6536639311832,1433.0191651375824,-1,-1,0.0,0.0,0.0018573330016806722,0.025672957999631763,0.0002504579024389386,0.027780748903751373,-35.67265319824219
regularized_42,primary,2,45,2025-02-15,2,no_season,42,42,42,32896.23854650403,0.0,0.0,2070.819051487209,34967.05759799124,44071.14703754593,44071.14703754593,575.3426473294494,300,15574.73191820872,0.0,208.33333333333334,208.33333333333334,0.009150108970394618,0,0,0,0,1,1,1,1250.0,2500.0,1250.0,0.0,8.680555555555555,0.0,1250.0,1433.0191651375824,1213.4165498481116,-1,-1,0.0,0.0,0.0021445000311359763,0.02678245899733156,0.00024379207752645016,0.029170751105993986,-35.053924560546875
regularized_42,primary,2,46,2025-02-16,2,no_season,42,42,42,60949.86642605913,0.0,0.0,7652.731089389821,68602.59751544896,76785.59249614213,76785.59249614213,1728.3505696466316,500,2801.2017708954254,3480.9025165170106,3145.5403216236746,6626.442838140685,0.27574852954047885,3,4,0,20,17,37,34,11048.42326046859,11900.81318023699,2288.980200503268,245.25028265593875,276.10178492252845,1250.0,1250.0,1213.4165498481116,1200.0,-1,-1,0.0,0.0,0.002350333030335605,0.02671629097312689,0.00025224999990314245,0.029318874003365636,-68.6236801147461
regularized_42,primary,2,47,2025-02-17,2,no_season,42,42,42,61178.65717923354,0.0,0.0,2344.8043085555696,63523.46148778911,77211.66653620542,77211.66653620542,528.2577896553823,210,6207.26025822591,3488.0090096823524,3139.208108714116,6627.217118396467,0.27575132424461335,1,2,0,21,18,39,38,7195.530167405029,8189.170174238581,2007.065086453487,242.78131135056893,276.1340465998528,1250.0,1250.0,1200.0,1200.0,-1,-1,0.0,0.0,0.0022134999744594097,0.026115165906958282,0.00023462495300918818,0.02856329083442688,-63.5384521484375
regularized_42,primary,2,48,2025-02-18,2,no_season,42,42,42,60512.87904776572,0.0,0.0,2235.9855987953715,62748.864646561095,76004.78092682433,76004.78092682433,502.6346479494971,230,4107.928194712172,3080.995967283169,2772.8963705548517,5853.8923378380205,0.2435741179602108,1,2,0,17,10,27,26,10444.624334532127,11483.882828641856,4269.349702300715,192.47735069489096,243.91218074325084,1250.0,3365.0926457953797,1200.0,1200.0,-1,-1,0.0,0.0,0.0023247910430654883,0.0259551249910146,0.00025695899967104197,0.02853687503375113,-62.762969970703125
regularized_42,primary,2,49,2025-02-19,2,no_season,42,42,42,60573.62847683793,0.0,0.0,6303.1176557259105,66876.74613256386,76050.4002753039,76050.4002753039,1627.382196447933,420,4520.41426863714,2780.4081978134677,2502.3673780321215,5282.77557584559,0.21981056825236386,1,2,0,17,8,25,25,11083.863896559033,12128.167410734684,4639.238938987886,250.16727504847574,220.1156489935662,1250.0,3669.801078275412,1200.0,1200.0,-1,-1,0.0,0.0,0.0025365829933434725,0.025891125085763633,0.00024562503676861525,0.02867333311587572,-66.88983154296875
regularized_42,primary,2,50,2025-02-20,2,no_season,42,42,42,61540.95953782157,0.0,0.0,2295.7119113479116,63836.67144916947,77129.37325292591,77129.37325292591,505.1101210750186,320,6310.225438875097,3151.8164965395963,2820.6922947470885,5972.508791286685,0.24847276717013056,1,2,0,17,12,29,26,11561.05736043732,12727.321231487618,4611.466988050869,265.7207324486473,248.85453297027848,1250.0,3610.8125400056774,1200.0,1216.8049254912662,-1,-1,0.0,0.0,0.0027211670530959964,0.025936000049114227,0.00023349991533905268,0.028890667017549276,-63.84468078613281
regularized_42,primary,2,51,2025-02-21,2,no_season,42,42,42,32413.26775743849,0.0,0.0,970.5992028572198,33383.86696029571,43660.63507419357,43660.63507419357,293.46183424849846,280,18393.83487510874,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216.8049254912662,1216.8049254912662,-1,-1,0.0,0.0,0.0026729999808594584,0.02573762508109212,0.00023029104340821505,0.028640916105359793,-33.38386917114258
regularized_42,primary,2,52,2025-02-22,2,no_season,42,42,42,32483.197612597953,0.0,0.0,1097.0714002487775,33580.26901284672,43829.9953849587,43829.9953849587,318.8283674895427,190,16304.06086911491,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216.8049254912662,1216.8049254912662,-1,-1,0.0,0.0,0.00274454103782773,0.02617704204749316,0.00025112496223300695,0.029172708047553897,-33.58026885986328
