day,slot,matched,all_net_paths,predicted_price,selected_scenario_indices,all_price_error_paths,load_kw,pv_kw
31,0,True,c73e3d34e619ce767755870465ae17119f381485055ab9f5058dd4a02204a946,b81b4592e0545137048e56ebb626a2ca41be662e4dd949bc298798c91b42419c,921af1d206cc630db55f0b38cd6d8485d5f3ebd101d9f87dfe4ba88840aab333,598a867d7bf4abed2faf55f8aed11450176ab43fd6ae2e41d637f3bd4ab858ec,2b12f3a8498f101bf42fb935a3bcbe2f766c4252906eb0b9d9f44b59bb0fd642,0939bb134c0716803cb9105118ae8433644dce82ec95beb3f40199a64789defe
32,0,True,a3c97fd7aa9d914ab864ef32ebce2920c30fc8ab6365259bf907eaf824f93b59,011811bde787dfd7fbd866a86afa9d706749dfb2e159c47d06428b6468f7714d,921af1d206cc630db55f0b38cd6d8485d5f3ebd101d9f87dfe4ba88840aab333,cffa48da2b0505bccac44f28d706e10e31912f2f1efd2a5996c6099f43e2be9f,290d5aff2656f6f914e7e103fe386ead0e5c63444d1878570e9b66fa88f22789,15a61f986173d6fe8d0864a2c2d4e08a83526a2576ac18c16aea033d68048728
33,0,True,adce3ec8fbbbea29f5af0712f1570add6561f56e30a98bdf6a18bd3d8061feb1,e168489445920fa03c4bea702a864fad7a33915d94c6983794c1e56aec7b9526,921af1d206cc630db55f0b38cd6d8485d5f3ebd101d9f87dfe4ba88840aab333,5922632f2d30d75aa1a889c86d60003467b96b029d4d565667ff57d257e1b100,48433a3137b5e4f590b8ba75d38ed1e1a46d86bec9f2a35d528708b7c8120f48,610732a44741e043c045cdf550d0e585c4cd9e781d31888b0a4d6902a43eeee3
34,0,True,0b38b71d8fcac737248f1b90e3736de2c6b376843183c27cdc7e1f0f398f6bab,01249dadd7143ee5f456d454db6adf4570185128248f45e8e46f755885e589a3,921af1d206cc630db55f0b38cd6d8485d5f3ebd101d9f87dfe4ba88840aab333,24c3f49105131fc71f4d8f58b9ef71625ffe575e596dc35d27dd24f68f453cf8,698395429e5b5c734a84f543a70ff03ff0963d76e37e8d02d7e010f7987f8a63,7d99889ba9c3a440daf1ebb38e3514fe490f8f35c2906c3888540eae0db69cf8
35,0,True,37c84f351bf44461e685093c2594003cfec40043ac84be004892c2f3e14888d9,f43d453fa13cf5d9109c14dff71f1092aaee6ebfa0ced286f298a4a4399b5ea9,921af1d206cc630db55f0b38cd6d8485d5f3ebd101d9f87dfe4ba88840aab333,c491cfe83f6a1b7aa0e9c50ed31721187b380f9e85b2f29ecf672b86a6010d49,7532962dda87bd174ead306aea61a751f43a04df064a6ece3e969ba34cc296e1,5533debdeb937a366eddfc8c6c321bf439474b777478ee0723bf12094db9d68a
36,0,True,fb63054b817456a4b63e546f70d82f2441af2f1343c6d50b22d0366d1a85462a,f91a0dfbfbc888d31bd64e46af2ebb251125cf50277eaca3007db2ab94db7cd2,921af1d206cc630db55f0b38cd6d8485d5f3ebd101d9f87dfe4ba88840aab333,b511b2a2374f5c54e79ce7b85d5b2add390f9b31ce44da8e480746c2def3f5b0,f9468a3524fce5c6f7899f69e5213e9f58038e6d1ec139399b2cde2b6158db6e,b582c4e90e2a5c743d024a622616c58efa863e5c2c13d2e522cd0d6ff4c662a4
37,0,True,c013ad938ba1dc6fe78e2a0869ce0c28564b2e917e26db407cac5bfc516884ec,dcde7706773deb93fec84ff220192c989d46e8f2682c5a8e9a12a3a603973b71,921af1d206cc630db55f0b38cd6d8485d5f3ebd101d9f87dfe4ba88840aab333,135f029dfac60cb496c98a0fa7c4edfbda7e3dd6a527c0b78befc20261523d56,318d740d160b75f9e5f32dd79fcbc92560929f4133a2dce22f2a6a6f328838b7,6b571daff16de0e91b901c026ef6c79449b8a6b54fb6ceaae47870b2ab11581c
38,0,True,654503b3640b2cc9a873adbe7035edb177f5b1439d60e21ccfe8b533d441444f,d04394bcf9fea95d3cdabef28b346301ba1175761c41a687e5e2ccb7f4cf1963,921af1d206cc630db55f0b38cd6d8485d5f3ebd101d9f87dfe4ba88840aab333,fbb83fc8cf706fc739cc392b5949229d08557f07a6040cfd0d7076e0348e6409,07f0428f5067a3697d9286597225229ab71a72d00fbae4e1ba4227ff800949ce,8e2a7c10be0ba9edf6fc23a45a1e76e99798ca75084adb89d0b612ac20d62987
39,0,True,1a11c459e82460138abb406502df317773e04290522453bb6374eeb4b5f2b1b1,44a413997ceda66b1e52a0103cc84af669ba4a97009b0e46cc7869a431cb0a6f,921af1d206cc630db55f0b38cd6d8485d5f3ebd101d9f87dfe4ba88840aab333,2df4f4fbbae69e98c15c99b944d53b7872b65d3510570285121c02a02a0f7e5f,a6243d601cd73d97fb1b60ca44ec02ebf21e592f075a6ba9ba01c828fb672a69,e9d98dc5249f5bd8ffa77a0618ea5042c682e315bd22ac90a70a2e76bfe12f05
40,0,True,7517f8fa2696bc49828856c270cd27c85ca5aee689346b26a354c726cebcf461,4cf7b4e7e9b127200ee401b067a4ad9e859829f229d4435c26618800a6a70285,921af1d206cc630db55f0b38cd6d8485d5f3ebd101d9f87dfe4ba88840aab333,57a43af7a52ae7ba90cb3acdaac2c74f96d453cfa2abb35196c6627aa13cd440,98ff8b1318a3ce4f6553c4d0016cab62505d3d1a96356f5d5cb11212a9e9153e,2b3aebb3ba4190a0d1e30c17a6f64cb1a96f8accc69c0424ffe55f63c5fe11f3
