interval_start_hour,interval_end_hour,charge_power_kw,discharge_power_kw,net_battery_power_kw,delta_power_kw,soc_start_kwh,soc_end_kwh,load_kw,pv_kw
0.0,0.16666666666666666,2535.786553761463,-0.0,2535.786553761463,,6000.0,6400.943058495762,3439.8466,0.0
0.16666666666666666,0.3333333333333333,2535.7865537614507,-1.2942336498561131e-11,2535.786553761464,9.094947017729282e-13,6400.943058495762,6801.886116991524,3437.9792,0.0
0.3333333333333333,0.5,2535.786553761479,1.5347723092418164e-11,2535.7865537614634,-4.547473508864641e-13,6801.886116991524,7202.829175487286,3444.3031,0.0
0.5,0.6666666666666666,2535.7865537614734,9.706752373920863e-12,2535.786553761464,4.547473508864641e-13,7202.829175487286,7603.772233983048,3454.4437,0.0
0.6666666666666666,0.8333333333333334,2535.7865537614593,-3.410605131648481e-12,2535.7865537614625,-1.3642420526593924e-12,7603.772233983048,8004.71529247881,3458.8273,0.0
0.8333333333333334,1.0,2535.786553761419,-4.4651060920035966e-11,2535.7865537614634,9.094947017729282e-13,8004.71529247881,8405.658350974572,3459.8401,0.0
1.0,1.1666666666666667,2535.786553761425,-3.8827009495683396e-11,2535.786553761464,4.547473508864641e-13,8405.658350974572,8806.601409470335,3467.1582,0.0
1.1666666666666667,1.3333333333333333,2535.78655376143,-2.4556356947869024e-11,2535.7865537614543,-9.549694368615746e-12,8806.601409470335,9207.544467966096,3467.9632,0.0
1.3333333333333333,1.5,2535.7865537614734,4.529817774496403e-12,2535.786553761469,1.4551915228366852e-11,9207.544467966096,9608.487526461859,3466.9683,0.0
1.5,1.6666666666666667,2507.157310752,-6.548361852765083e-11,2507.1573107520653,-28.62924300940358,9608.487526461859,10004.903904177814,3482.4927,0.0
1.6666666666666667,1.8333333333333333,1507.1573107527206,-8.412518724064747e-11,1507.1573107528047,-999.9999999992606,10004.903904177814,10243.206398885468,3495.0841,0.0
1.8333333333333333,2.0,1507.1573107530971,2.8614977054530755e-10,1507.157310752811,6.366462912410498e-12,10243.206398885468,10481.508893593116,3498.4443,0.0
2.0,2.1666666666666665,1507.1573107529753,1.6575540939811594e-10,1507.1573107528095,-1.5916157281026244e-12,10481.508893593116,10719.811388300766,3505.2295,0.0
2.1666666666666665,2.3333333333333335,507.1573107528267,1.7957491891753596e-11,507.1573107528087,-1000.0000000000008,10719.811388300766,10800.0,3512.6387,0.0
2.3333333333333335,2.5,-1.2942336498561143e-11,-1.1578094445901749e-11,-1.3642420526593948e-12,-507.1573107528101,10800.0,10800.0,3516.8685,0.0
2.5,2.6666666666666665,-1.3642420526593898e-11,-1.2278178473934505e-11,-1.3642420526593924e-12,2.4233807008389483e-27,10800.0,10800.0,3517.9246,0.0
2.6666666666666665,2.8333333333333335,9.059635548992791e-11,9.19605975425873e-11,-1.3642420526593924e-12,0.0,10800.0,10799.999999999998,3518.5518,0.0
2.8333333333333335,3.0,-1.11277485629513e-10,-1.1050360626541063e-10,-7.738793641023821e-13,5.903626885570103e-13,10799.999999999998,10800.0,3521.0976,0.0
3.0,3.1666666666666665,-1.3642420526593904e-11,-1.2278178473934515e-11,-1.36424205265939e-12,-5.903626885570078e-13,10800.0,10800.0,3526.9261,0.0
3.1666666666666665,3.3333333333333335,8.412518724064736e-11,8.548942929330675e-11,-1.3642420526593924e-12,-2.4233807008389483e-27,10800.0,10799.999999999998,3537.2854,0.0
3.3333333333333335,3.5,-1.3642420526593904e-11,-1.2278178473934515e-11,-1.36424205265939e-12,2.4233807008389483e-27,10799.999999999998,10799.999999999998,3544.8808,0.0
3.5,3.6666666666666665,9.059635548992793e-11,9.196059754258733e-11,-1.3642420526593924e-12,-2.4233807008389483e-27,10799.999999999998,10799.999999999996,3541.2787,0.0
3.6666666666666665,3.8333333333333335,-1.11277485629513e-10,-1.1050360626541063e-10,-7.738793641023821e-13,5.903626885570103e-13,10799.999999999996,10799.999999999998,3546.3976,0.0
3.8333333333333335,4.0,-1.3642420526593898e-11,-1.2278178473934505e-11,-1.3642420526593924e-12,-5.903626885570103e-13,10799.999999999998,10799.999999999998,3560.207,0.0
4.0,4.166666666666667,-1.294233649856113e-11,-1.1578094445901737e-11,-1.3642420526593924e-12,0.0,10799.999999999998,10799.999999999998,3561.9581,0.0
4.166666666666667,4.333333333333333,-1.3642420526593898e-11,-1.2278178473934505e-11,-1.3642420526593924e-12,0.0,10799.999999999998,10799.999999999998,3556.7183,0.0
