date,period,planned_kwh
2025-03-20,10:00-10:10,8.411737006739575
2025-03-20,12:00-12:10,679.3372154945816
2025-03-20,14:00-14:10,0.0
2025-03-20,16:00-16:10,462.44444243609195
2025-03-20,18:00-18:10,387.61826965528815
2025-03-20,20:00-20:10,27.436458037467446
2025-06-21,10:00-10:10,0.0
2025-06-21,12:00-12:10,27.716541293660498
2025-06-21,14:00-14:10,0.0
2025-06-21,16:00-16:10,235.84884813158556
2025-06-21,18:00-18:10,31.505723432668788
2025-06-21,20:00-20:10,6.367542387331696
2025-09-23,10:00-10:10,0.0
2025-09-23,12:00-12:10,424.6160394501762
2025-09-23,14:00-14:10,0.0
2025-09-23,16:00-16:10,593.6816150782579
2025-09-23,18:00-18:10,800.2913851072985
2025-09-23,20:00-20:10,9.728716966437673
2025-12-21,10:00-10:10,3.4015327708530663
2025-12-21,12:00-12:10,916.0779152994053
2025-12-21,14:00-14:10,0.0
2025-12-21,16:00-16:10,823.6368154204455
2025-12-21,18:00-18:10,523.369087803196
2025-12-21,20:00-20:10,22.22336976500594
