date,period,start_slot,end_slot_exclusive,emergency_kwh
2025-03-20,01:30-01:40,9,10,2.3504870555283333
2025-03-20,03:10-03:30,19,21,25.549884827529127
2025-03-20,03:50-04:00,23,24,0.23289398374868142
2025-03-20,04:50-05:00,29,30,3.993318187509203
2025-03-20,15:20-16:20,92,98,374.11344694677854
2025-03-20,16:30-17:00,99,102,36.340388303890904
2025-03-20,17:20-17:30,104,105,0.20449261994644985
2025-03-20,18:40-19:00,112,114,27.393445340525773
2025-03-20,20:00-20:20,120,122,27.132754513332657
2025-03-20,21:10-21:40,127,130,15.811328204321285
2025-03-20,23:30-23:50,141,143,3.6148638318909434
2025-06-21,02:50-03:00,17,18,8.896925093592301
2025-06-21,04:00-04:10,24,25,8.73793624875168
2025-06-21,05:00-05:10,30,31,0.48000088778769623
2025-06-21,05:40-05:50,34,35,1.5465094475398473
2025-06-21,06:10-06:20,37,38,9.300542154038254
2025-09-23,02:10-02:20,13,14,5.248677844087069
2025-09-23,05:00-05:10,30,31,9.480807815119988
2025-09-23,09:30-09:50,57,59,48.059099999999795
2025-09-23,10:00-10:10,60,61,3.388966666666571
2025-09-23,14:20-14:30,86,87,7.512766248558002
2025-09-23,14:40-15:00,88,90,114.1362705550566
2025-09-23,18:10-18:20,109,110,11.257421315960983
2025-09-23,20:00-20:20,120,122,38.11124867196827
2025-09-23,20:50-21:00,125,126,37.99735262696572
2025-09-23,21:20-21:30,128,129,16.421722715863098
2025-09-23,22:20-22:30,134,135,5.8906427761094164
2025-12-21,01:30-01:40,9,10,5.817420799862134
2025-12-21,03:00-03:10,18,19,8.77091040150708
2025-12-21,03:30-03:50,21,23,62.210128536121715
2025-12-21,07:50-08:00,47,48,18.897768003706915
2025-12-21,10:30-10:40,63,64,47.44178969314652
2025-12-21,16:50-17:00,101,102,12.685827662426163
2025-12-21,17:20-17:30,104,105,12.05732438461564
2025-12-21,18:30-18:50,111,113,11.793062208306878
2025-12-21,19:50-20:00,119,120,15.932121819621216
2025-12-21,23:30-23:40,141,142,1.0964111011875275
