day,date,total_cost,planned_cost,emergency_cost,emergency_kwh,lp_q080_coverage,initial_soc,final_soc
31,2025-02-01,30298.163255460924,30298.163255460924,0.0,0.0,1.0,1421.7991105135516,5261.878726884921
32,2025-02-02,52559.07542668221,49701.82141476673,2857.2540119154764,426.4001359390116,0.6666666666666666,5261.878726884921,1922.9490282531074
33,2025-02-03,56157.89616076909,53536.852396191534,2621.0437645775532,602.0911231576963,0.7569444444444444,1922.9490282531074,3019.10259594207
34,2025-02-04,53160.39749795289,53160.3974979529,0.0,0.0,0.7430555555555556,3019.10259594207,2410.711425866719
35,2025-02-05,53459.4807345943,53253.37437570266,206.10635889162626,37.64518946056637,0.7291666666666666,2410.711425866719,1862.7019563626934
36,2025-02-06,55026.26068665306,54699.29450438407,326.9661822689985,56.50852021470223,0.8819444444444444,1862.7019563626934,1925.8962690854523
37,2025-02-07,20983.066501775305,18678.656522825528,2304.409978949774,466.90507120854505,0.6388888888888888,1925.8962690854523,1544.387233472716
38,2025-02-08,21061.261622266695,17581.420665898175,3479.840956368521,734.4831496222789,0.3958333333333333,1544.387233472716,1484.9636958448627
39,2025-02-09,52686.99145385451,52686.99145385451,0.0,0.0,0.7638888888888888,1484.9636958448627,1754.5092056669882
40,2025-02-10,53858.490559053156,53858.49055905316,0.0,0.0,0.9305555555555556,1754.5092056669882,2060.3700386029
41,2025-02-11,51569.04972224482,51569.04972224481,0.0,0.0,0.8888888888888888,2060.3700386029,1703.321368955379
42,2025-02-12,51432.70527588276,51432.70527588276,0.0,0.0,0.8819444444444444,1703.321368955379,2016.8157967382012
43,2025-02-13,50351.52639568177,50351.52639568177,0.0,0.0,0.7916666666666666,2016.8157967382012,1927.322917765887
44,2025-02-14,17899.748927177854,17899.748927177854,0.0,0.0,0.5972222222222222,1927.322917765887,1579.0354597595237
45,2025-02-15,18438.52287161022,18438.522871610225,0.0,0.0,0.7013888888888888,1579.0354597595237,1773.8993450029045
46,2025-02-16,50645.31718913425,48772.80168804109,1872.5155010931628,397.4349232485416,0.6944444444444444,1773.8993450029045,1807.6570924188816
47,2025-02-17,49700.915615290796,49700.915615290796,0.0,0.0,0.9166666666666666,1807.6570924188816,2010.1731955192322
48,2025-02-18,47452.48980406492,47389.531501807025,62.958302257894076,13.838510222638547,0.8541666666666666,2010.1731955192322,1902.1251953103483
49,2025-02-19,48184.151405480094,48067.47909029469,116.67231518540304,26.34049906932148,0.6805555555555556,1902.1251953103483,1377.675641306428
50,2025-02-20,47765.634073394904,47765.634073394904,0.0,0.0,0.8055555555555556,1377.675641306428,1876.4272768820074
51,2025-02-21,17724.565170398906,17724.565170398906,0.0,0.0,0.7847222222222222,1876.4272768820074,1840.6592036729749
52,2025-02-22,17772.195475810637,17772.195475810637,0.0,0.0,0.7291666666666666,1840.6592036729749,1898.7756913904395
53,2025-02-23,47089.21539039827,47089.21539039827,0.0,0.0,0.7430555555555556,1898.7756913904395,1607.5788909853254
54,2025-02-24,46968.710557489416,46968.71055748941,0.0,0.0,0.8819444444444444,1607.5788909853254,1995.0993363996774
55,2025-02-25,45454.39299763112,45352.82948560752,101.56351202359784,22.88386051977875,0.8611111111111112,1995.0993363996774,1675.5421290985742
56,2025-02-26,45016.339692402355,45016.339692402355,0.0,0.0,0.7847222222222222,1675.5421290985742,1882.1157071960977
57,2025-02-27,47378.63874024594,44133.03111395483,3245.607626291104,671.7369675119114,0.7986111111111112,1882.1157071960977,1770.1170865685676
58,2025-02-28,17453.149547734974,17453.149547734974,0.0,0.0,0.8680555555555556,1770.1170865685676,2060.4583183457785
59,2025-03-01,16333.08977498288,16333.089774982882,0.0,0.0,0.5833333333333334,2060.4583183457785,1303.696608776222
60,2025-03-02,67482.50063741984,42775.63569397674,24706.8649434431,4801.543818368566,0.5347222222222222,1303.696608776222,1239.3012072183494
61,2025-03-03,56748.229902214254,43731.81437260574,13016.415529608521,2604.205909214089,0.3888888888888889,1239.3012072183494,1280.2008364621681
62,2025-03-04,45596.67410094947,45596.67410094947,0.0,0.0,0.7083333333333334,1280.2008364621681,1577.6226173080813
63,2025-03-05,44837.64619285696,44824.94494754383,12.701245313135848,2.7917892764338603,0.8263888888888888,1577.6226173080813,1600.1871896892987
64,2025-03-06,44483.56470416502,43951.57340454162,531.9912996234059,80.53979757929709,0.7291666666666666,1600.1871896892987,1250.0811106000388
65,2025-03-07,16748.44875624704,16748.44875624704,0.0,0.0,0.8611111111111112,1250.0811106000388,1740.1365347928765
66,2025-03-08,15780.595442820082,15780.595442820082,0.0,0.0,0.7777777777777778,1740.1365347928765,1521.2864041563487
67,2025-03-09,42712.677663667535,42643.411986687206,69.26567698032153,13.921052433327628,0.7569444444444444,1521.2864041563487,1825.8355954787528
68,2025-03-10,43715.23226013414,42297.91970173411,1417.3125584000313,284.5265476823903,0.6041666666666666,1825.8355954787528,1639.0454652869385
69,2025-03-11,42607.61495300922,42607.61495300922,0.0,0.0,0.7777777777777778,1639.0454652869385,2098.7758533109472
70,2025-03-12,41854.67856337853,41854.67856337853,0.0,0.0,0.7777777777777778,2098.7758533109472,1784.5505945096613
71,2025-03-13,47837.09692579841,41976.707232507804,5860.389693290606,1223.5221752248674,0.75,1784.5505945096613,1909.201903818037
72,2025-03-14,16042.087581953056,16042.087581953052,0.0,0.0,0.8958333333333334,1909.201903818037,2418.8509720756647
73,2025-03-15,15652.326492590797,15652.326492590799,0.0,0.0,0.7291666666666666,2418.8509720756647,1745.8569202991825
74,2025-03-16,42845.38842631048,41191.78212787622,1653.6062984342575,345.21012712006836,0.7083333333333334,1745.8569202991825,2133.9034338436477
75,2025-03-17,41201.66794648704,41201.66794648703,0.0,0.0,0.9583333333333334,2133.9034338436477,2395.595139907236
76,2025-03-18,45559.917546444776,40117.55390883946,5442.3636376053055,1080.3802290342549,0.7986111111111112,2395.595139907236,2137.7515682972003
77,2025-03-19,42198.42610893279,40374.75742015733,1823.6686887754622,373.7219807885766,0.8055555555555556,2137.7515682972003,2301.3379832981386
78,2025-03-20,41020.84553856019,39728.59738365034,1292.2481549098552,236.85437359734254,0.6388888888888888,2301.3379832981386,1702.6943184881236
79,2025-03-21,15610.512696122045,15610.512696122047,0.0,0.0,0.9027777777777778,1702.6943184881236,1950.7975299312525
80,2025-03-22,15448.313135937218,15448.31313593722,0.0,0.0,0.8263888888888888,1950.7975299312525,2338.4873987234673
81,2025-03-23,39675.70782491901,39242.409927274864,433.2978976441435,88.92112710714673,0.7569444444444444,2338.4873987234673,1872.7233883473307
82,2025-03-24,39612.3145385925,38968.62469986874,643.6898387237632,135.95657214082135,0.7777777777777778,1872.7233883473307,1897.8165906443737
83,2025-03-25,40578.704965249846,38604.26689097018,1974.4380742796645,406.83468766815207,0.6597222222222222,1897.8165906443737,1919.799123428012
84,2025-03-26,39056.43900952017,39056.43900952017,0.0,0.0,0.8819444444444444,1919.799123428012,2163.3711102641246
85,2025-03-27,38241.011308909234,38241.011308909234,0.0,0.0,0.7569444444444444,2163.3711102641246,2042.8523830731106
86,2025-03-28,15158.744032195009,15158.744032195007,0.0,0.0,0.8611111111111112,2042.8523830731106,2337.6517061909394
87,2025-03-29,14643.148300621935,14643.148300621935,0.0,0.0,0.9097222222222222,2337.6517061909394,2003.8916869128082
88,2025-03-30,37179.43457575422,37179.43457575422,0.0,0.0,0.8263888888888888,2003.8916869128082,2115.9653921237277
89,2025-03-31,36880.23742935474,36591.33577482715,288.90165452759106,71.48952725674769,0.7777777777777778,2115.9653921237277,2076.4363036262134
