day,date,total_cost,planned_cost,emergency_cost,initial_soc,final_soc,mip_gap,mip_seconds,refinement_seconds,planned_changes,seconds
31,2025-02-01,24403.637519126936,24403.637519126936,0.0,1421.7991105135516,3430.6569642798254,0.0,0.23840558307711035,0.7696447500493377,15,1.0317789579275995
32,2025-02-02,58801.69985107778,50141.17207204369,8660.527779034086,3430.6569642798254,3573.4730556903796,1.0824691500987923e-05,0.23636774998158216,0.930012125056237,24,1.1871957090916112
33,2025-02-03,51715.44632857651,51616.385111188494,99.06121738801335,3573.4730556903796,2178.483820060279,9.126065989458017e-06,0.33529245806857944,0.8688069169875234,28,1.2312529169721529
34,2025-02-04,55721.18216474839,52772.06886739404,2949.113297354345,2178.483820060279,1708.6430505224257,1.8997732357603713e-06,0.607956749969162,0.78163462493103,20,1.409997250069864
35,2025-02-05,54172.94707286784,52810.93927715836,1362.0077957094777,1708.6430505224257,2283.142876220782,2.7482886062549855e-07,0.4197335420176387,0.6814594580791891,30,1.1200783749809489
36,2025-02-06,53939.96019066698,53939.960190666985,0.0,2283.142876220782,2147.2825675870185,1.3445015438743743e-05,0.5045423749834299,0.6732031661085784,22,1.2011759160086513
37,2025-02-07,20774.465625267163,20774.465625267163,0.0,2147.2825675870185,2220.6259635148867,1.43496695635376e-05,0.28525712492410094,0.6932775829918683,28,0.9990047920728102
38,2025-02-08,19146.04749035555,18913.847775824284,232.19971453126476,2220.6259635148867,1636.698415005301,1.4732162422594457e-05,0.3486343330005184,0.6481559169478714,20,1.0179400000488386
39,2025-02-09,52670.34960902919,52264.072606792295,406.27700223688737,1636.698415005301,2061.0891507629517,1.356450287952512e-07,0.26804516604170203,0.6551742090377957,30,0.9420370829757303
40,2025-02-10,53395.532779355555,53379.029339698885,16.503439656672693,2061.0891507629517,2620.90534401824,5.055232501300125e-06,0.5001987499417737,0.7450182919856161,18,1.2668710000580177
41,2025-02-11,51371.25095702928,51371.250957029275,0.0,2620.90534401824,2270.110860268967,1.160239732285775e-07,0.29782066692132503,0.836748749949038,32,1.1560750419739634
42,2025-02-12,51285.85571442126,51285.855714421254,0.0,2270.110860268967,2101.0086312872777,2.138523104502151e-05,0.36476262495853007,0.7138936249539256,30,1.1047745409887284
43,2025-02-13,50437.37732825069,50370.01655402042,67.36077423027552,2101.0086312872777,2258.3481117016754,0.0,0.25589333404786885,0.7160733339842409,24,0.993815750000067
44,2025-02-14,18307.34905662509,18181.0256897379,126.32336688719151,2258.3481117016754,1927.5075033669573,2.5958998245103373e-08,0.29297391697764397,0.7541572499321774,28,1.070025208988227
45,2025-02-15,18608.97744410071,18567.113441760324,41.864002340386456,1927.5075033669573,1816.7776710032592,0.0,0.32918266602791846,0.7204327499493957,24,1.070500041008927
46,2025-02-16,49111.39168099413,49095.70245539988,15.689225594246487,1816.7776710032592,2356.7085928600045,6.866970510621828e-06,0.3573535829782486,0.7159721660427749,28,1.0980923339957371
47,2025-02-17,49314.59439104902,49314.59439104902,0.0,2356.7085928600045,2562.8084217513992,0.0,0.35589337500277907,0.7335384580073878,22,1.112040500040166
48,2025-02-18,47623.77142819445,47623.77142819445,0.0,2562.8084217513992,2394.110191892511,6.356992144351361e-06,0.3209885830292478,0.6972411249298602,28,1.040812083054334
49,2025-02-19,48109.69251114689,47993.10650968611,116.5860014607729,2394.110191892511,1971.6401409421608,1.4127693430792898e-05,0.5002411670284346,0.6724615000421181,30,1.1950135419610888
50,2025-02-20,47343.21911262827,47339.00418871623,4.214923912036914,1971.6401409421608,2073.0866536344697,2.131479703415339e-07,0.37858349992893636,0.7578542910050601,24,1.1577598750591278
51,2025-02-21,17649.98438566842,17649.984385668424,0.0,2073.0866536344697,2176.3274810971798,4.0697749458487114e-07,0.30874520796351135,0.6991887909825891,20,1.031342790927738
52,2025-02-22,18019.65358457353,18019.65358457353,0.0,2176.3274810971798,1946.7882791104023,0.0,0.3882616249611601,0.6908907919423655,18,1.1025032500037923
53,2025-02-23,46984.62814136528,46860.93839353925,123.68974782603298,1946.7882791104023,1669.7752503618342,1.0662941293576471e-05,0.4642198330257088,0.7008821660419926,26,1.1970480419695377
54,2025-02-24,46679.35955430746,46662.43744316381,16.92211114365447,1669.7752503618342,2173.2606302813156,4.328055723765961e-06,0.6302664580289274,0.740209374926053,34,1.3935091249877587
55,2025-02-25,45422.23519260748,45422.23519260748,0.0,2173.2606302813156,1948.4062434596221,1.8259627570827474e-05,0.6825810000300407,0.6424059579148889,24,1.3491969580063596
56,2025-02-26,45273.30617150307,45188.11960416037,85.1865673426987,1948.4062434596221,2036.4746676570992,2.555288819276553e-05,0.33249412500299513,0.6679901250172406,22,1.023593083024025
57,2025-02-27,44613.50291746593,44184.54238581256,428.96053165336684,2036.4746676570992,1987.8232098715234,3.3924293142294316e-05,0.7125280000036582,0.694650667021051,24,1.4299039168981835
58,2025-02-28,16893.749574020036,16893.749574020032,0.0,1987.8232098715234,1970.4981302370277,0.0,0.19282012502662838,0.6411968749016523,20,0.856327792047523
59,2025-03-01,17643.344761972105,15859.296448125597,1784.0483138465065,1970.4981302370277,1340.066687211181,1.4090455042410198e-05,0.25274229189381003,1.04611587501131,16,1.3212391670094803
60,2025-03-02,67844.47565493605,43176.18857305713,24668.28708187891,1340.066687211181,1208.3261699014417,2.186392749010816e-05,0.5369271249510348,0.7048686250345781,22,1.2620055410079658
61,2025-03-03,59435.45411906121,44072.39301495142,15363.061104109795,1208.3261699014417,1668.7232238342374,0.0,0.238873332971707,0.6743754169438034,24,0.9335090829990804
62,2025-03-04,45883.72962782947,45860.424369969536,23.305257859937242,1668.7232238342374,1717.619222087844,0.0,0.23561350000090897,0.6676115419249982,20,0.9248351249843836
63,2025-03-05,45538.73235080512,45196.247302964766,342.48504784035725,1717.619222087844,1670.827145634551,1.355951666273192e-05,0.37117866694461554,0.6939792080083862,26,1.0848371660104021
64,2025-03-06,43667.61220115134,43424.49006334737,243.12213780396453,1670.827145634551,1563.156971541692,0.0,0.3254263330018148,0.7511374580208212,34,1.0993160420330241
65,2025-03-07,16547.12984903239,16547.12984903239,0.0,1563.156971541692,2097.3553001476653,3.8245308520329005e-05,0.2504897910403088,0.688317000051029,16,0.9619648749940097
66,2025-03-08,15516.322464510438,15508.292675877772,8.029788632666218,2097.3553001476653,1842.1787750989492,5.862876231602587e-05,0.5472797920228913,0.7750242080073804,26,1.3445861249929294
67,2025-03-09,42737.79352362786,42737.79352362786,0.0,1842.1787750989492,1758.7068691096542,8.128393477876137e-05,0.47297579201404005,1.049211334087886,28,1.545713874977082
68,2025-03-10,49123.980276796334,42106.55535391685,7017.424922879493,1758.7068691096542,1586.9436724320667,2.717730605096775e-05,0.3475397500442341,0.9173025829950348,26,1.2922673330176622
69,2025-03-11,43558.5846803833,43433.002463133176,125.58221725012409,1586.9436724320667,1935.7571954494722,1.4418933002225898e-05,0.33813704107888043,0.7555862079607323,26,1.1206724169896916
70,2025-03-12,41985.15239845843,41929.42890223206,55.7234962263682,1935.7571954494722,1652.9518114994632,6.073857819834909e-05,0.5202272909227759,0.7090919580077752,26,1.251600707997568
71,2025-03-13,49452.76068486504,41532.68470396004,7920.075980905004,1652.9518114994632,1573.8253429772599,6.477711977364755e-05,0.34334854199551046,0.3508010410005227,16,0.7154685839777812
72,2025-03-14,15827.62983367805,15827.62983367805,0.0,1573.8253429772599,2353.451847014402,0.0,0.35461462498642504,0.7381142500089481,24,1.117128000012599
73,2025-03-15,15841.057384463747,15834.4924737607,6.564910703048555,2353.451847014402,1787.5036960591533,1.6496065400375795e-05,0.2410489999456331,0.8283247909275815,22,1.0937914160313085
74,2025-03-16,42128.1235496826,41582.7757383716,545.3478113110019,1787.5036960591533,1867.9138057741434,3.118807833082852e-05,0.4835078330943361,0.7206744579598308,22,1.2252366250613704
75,2025-03-17,42660.482309578154,42660.48230957816,0.0,1867.9138057741434,2411.12825689946,1.3348171342826137e-05,0.2796786669641733,0.7437458339845762,16,1.0467147500021383
76,2025-03-18,42061.10096619022,40265.17960700999,1795.921359180234,2411.12825689946,1967.31673267599,0.0,0.24066025007050484,0.7731563328998163,22,1.0349421659484506
77,2025-03-19,39957.12193108834,39957.12193108833,0.0,1967.31673267599,2214.6875496238235,9.140144277030782e-05,0.648036792059429,0.8251488340320066,26,1.495998082915321
78,2025-03-20,39665.0871070459,39665.08710704591,0.0,2214.6875496238235,1721.1646128309244,3.4411273105082402e-06,0.3497121250256896,0.692099625011906,36,1.067674458026886
79,2025-03-21,15447.83215991114,15447.832159911137,0.0,1721.1646128309244,2160.5905309897043,1.0791789139966453e-06,0.3703772919252515,0.9403739579720423,16,1.3323059169342741
80,2025-03-22,15096.004728444997,15096.004728444996,0.0,2160.5905309897043,2325.0735322335486,0.0,0.3205238749505952,0.8522968749748543,24,1.1940980829531327
81,2025-03-23,39539.045378472445,39465.34864824239,73.69673023005788,2325.0735322335486,1874.8870205743985,1.0909834391489245e-05,0.4290120000950992,0.8019455830799416,22,1.2538595420774072
82,2025-03-24,39730.702786121365,38944.181546952874,786.5212391684897,1874.8870205743985,2021.9765662289958,1.9543846895166133e-05,0.344915583031252,0.7271645000437275,24,1.0968832499347627
83,2025-03-25,40089.904949105534,39246.1379152972,843.7670338083349,2021.9765662289958,1940.1646014745481,0.0,0.23579025000799447,0.6883922079578042,24,0.949137624935247
84,2025-03-26,39350.036779917245,39350.03677991724,0.0,1940.1646014745481,2283.5979244282794,1.0694003998951262e-05,0.6518733749398962,0.7475671659922227,28,1.421480083023198
85,2025-03-27,39025.55035182227,38945.1377344636,80.4126173586724,2283.5979244282794,2230.0864296231634,0.00010243267647802583,0.38356787501834333,0.9241969580762088,22,1.3309782500145957
86,2025-03-28,14570.610778980228,14570.610778980226,0.0,2230.0864296231634,2131.25611349369,2.7022165839427704e-15,0.37022720801178366,0.5568117499351501,20,0.9525788750033826
87,2025-03-29,14361.539378221569,14311.033455608915,50.505922612655226,2131.25611349369,1651.8381810978847,0.00026943041570887105,0.9927885829238221,0.8096394169842824,20,1.8310207920148969
88,2025-03-30,38809.9124475648,38809.9124475648,0.0,1651.8381810978847,1844.6265981046163,0.0,0.31079833302646875,1.0649466660106555,18,1.4038737079827115
89,2025-03-31,37999.391395482286,37823.71448446716,175.6769110151311,1844.6265981046163,2183.363890401265,1.057635223976539e-05,0.41622104204725474,0.8088833750225604,22,1.250990332919173
90,2025-04-01,54601.81129484469,35570.31935001402,19031.491944830672,2183.363890401265,1758.6795675348342,0.00011051594420411144,0.3503502089297399,0.8141593330074102,24,1.1893988329684362
91,2025-04-02,44111.87197899827,37258.15121088125,6853.72076811702,1758.6795675348342,1819.4865804581254,1.1443761393306261e-06,0.45235591707751155,0.7691500000655651,30,1.2448024170007557
92,2025-04-03,38990.03266172307,38990.03266172307,0.0,1819.4865804581254,1966.5272008306833,1.3512127417347187e-06,0.283244458027184,0.7518845410086215,18,1.058081666007638
93,2025-04-04,13606.54073823083,13606.54073823083,0.0,1966.5272008306833,2082.4656420541423,1.816665770337132e-07,0.3176291659474373,0.8636380000971258,16,1.2060762499459088
94,2025-04-05,25219.868305815282,13762.213326626948,11457.654979188334,2082.4656420541423,1586.3089176503258,0.0,0.23254424997139722,0.8469202499836683,14,1.1048687499715015
95,2025-04-06,37645.22650066203,37645.22650066203,0.0,1586.3089176503258,1968.6566493103292,0.0,0.26067920809146017,0.8375375419855118,20,1.1244840000290424
96,2025-04-07,36474.23518316287,36474.23518316288,0.0,1968.6566493103292,1836.2606851424478,0.0,0.28732975001912564,0.9164856669958681,24,1.227134041953832
97,2025-04-08,37339.06320263467,36847.1692622666,491.89394036806954,1836.2606851424478,1569.5316318473006,8.705065289717078e-07,0.38253820897080004,0.9102585000218824,22,1.3185709159588441
