起点/h,终点/h,电价/元每kWh,负载/kW,光伏/kW,购电量/kWh,充电功率/kW,放电功率/kW,剩余/kWh,期初储电/kWh,期末储电/kWh,区间电费/元
0.0,0.16666666666666666,0.4248,3439.8466,0.0,995.9388589602437,2535.786553761463,-0.0,0.0,6000.0,6400.943058495762,423.0748272863115
0.16666666666666666,0.3333333333333333,0.4245,3437.9792,0.0,995.6276256269106,2535.7865537614507,-1.2942336498561131e-11,0.0,6400.943058495762,6801.886116991524,422.6439270786235
0.3333333333333333,0.5,0.4269,3444.3031,0.0,996.6816089602439,2535.786553761479,1.5347723092418164e-11,0.0,6801.886116991524,7202.829175487286,425.48337886512815
0.5,0.6666666666666666,0.4272,3454.4437,0.0,998.3717089602441,2535.7865537614734,9.706752373920863e-12,0.0,7202.829175487286,7603.772233983048,426.5043940678163
0.6666666666666666,0.8333333333333333,0.4271,3458.8273,0.0,999.1023089602437,2535.7865537614593,-3.410605131648481e-12,0.0,7603.772233983048,8004.71529247881,426.71659615692005
0.8333333333333333,1.0,0.4285,3459.8401,0.0,999.2711089602441,2535.786553761419,-4.4651060920035966e-11,0.0,8004.71529247881,8405.658350974572,428.1876701894646
1.0,1.1666666666666665,0.4311,3467.1582,0.0,1000.4907922935772,2535.786553761425,-3.8827009495683396e-11,0.0,8405.658350974572,8806.601409470335,431.31158055776115
1.1666666666666665,1.3333333333333333,0.4302,3467.9632,0.0,1000.6249589602435,2535.78655376143,-2.4556356947869024e-11,0.0,8806.601409470335,9207.544467966096,430.46885734469674
1.3333333333333333,1.5,0.4279,3466.9683,0.0,1000.4591422935774,2535.7865537614734,4.529817774496403e-12,0.0,9207.544467966096,9608.487526461859,428.09646698742176
1.5,1.6666666666666665,0.4312,3482.4927,0.0,998.2750017920108,2507.157310752,-6.548361852765083e-11,0.0,9608.487526461859,10004.903904177814,430.4561807727151
1.6666666666666665,1.8333333333333333,0.4333,3495.0841,0.0,833.7069017921352,1507.1573107527206,-8.412518724064747e-11,0.0,10004.903904177814,10243.206398885468,361.2452005465322
1.8333333333333333,2.0,0.4311,3498.4443,0.0,834.2669351254684,1507.1573107530971,2.8614977054530755e-10,0.0,10243.206398885468,10481.508893593116,359.65247573258944
2.0,2.1666666666666665,0.4293,3505.2295,0.0,835.3978017921348,1507.1573107529753,1.6575540939811594e-10,0.0,10481.508893593116,10719.811388300766,358.6362763093635
2.1666666666666665,2.333333333333333,0.4324,3512.6387,0.0,669.9660017921351,507.15731075282673,1.7957491891753596e-11,0.0,10719.811388300766,10800.0,289.6932991749192
2.333333333333333,2.5,0.4367,3516.8685,0.0,586.1447499999997,-1.2942336498561143e-11,-1.1578094445901749e-11,0.0,10800.0,10800.0,255.96941232499987
2.5,2.6666666666666665,0.4348,3517.9246,0.0,586.3207666666664,-1.3642420526593898e-11,-1.2278178473934505e-11,0.0,10800.0,10800.0,254.93226934666654
