day,date,planned_cost,emergency_cost,total_cost,initial_soc,final_soc
31,2025-02-01,21228.290303974114,0.0,21228.290303974114,1390.382746315672,6811.553660459394
32,2025-02-02,53361.26762826595,11138.244437772606,64499.51206603856,6811.553660459394,3916.0425913004847
33,2025-02-03,58983.45388280234,0.0,58983.45388280234,3916.0425913004847,3183.5584607529313
34,2025-02-04,59681.81268491945,3916.1066738599516,63597.919358779414,3183.5584607529313,3182.768345530957
35,2025-02-05,59342.70387734529,1207.8642058163114,60550.5680831616,3182.768345530957,3149.2745906746827
36,2025-02-06,61750.40410871519,85.11643989487906,61835.52054861007,3149.2745906746827,4906.863758298273
37,2025-02-07,16287.015179780337,58.633967288525575,16345.649147068863,4906.863758298273,1827.221474316904
38,2025-02-08,15878.016156924408,2609.1535760993047,18487.169733023715,1827.221474316904,5775.080860142137
39,2025-02-09,56626.599455945296,589.5102705813151,57216.10972652661,5775.080860142137,1895.9602008173338
40,2025-02-10,57837.20738262596,22.160415175956846,57859.36779780191,1895.9602008173338,2732.0540883648846
41,2025-02-11,56068.92554611465,0.0,56068.92554611465,2732.0540883648846,2345.980215686522
42,2025-02-12,55912.297861799685,0.0,55912.297861799685,2345.980215686522,2059.4189789364536
43,2025-02-13,55852.82818827014,19.499478889375506,55872.327667159516,2059.4189789364536,5560.082626740723
44,2025-02-14,13147.860703750639,0.0,13147.86070375064,5560.082626740723,1322.8130790480075
45,2025-02-15,15117.428658738154,77.89159734545753,15195.32025608361,1322.8130790480075,1200.0
46,2025-02-16,53958.25949986764,469.1115193385108,54427.371019206155,1200.0,2221.817904692367
47,2025-02-17,54021.789125374744,0.0,54021.789125374744,2221.817904692367,3156.7793141430852
48,2025-02-18,50766.941730743114,133.60610083333287,50900.54783157644,3156.7793141430852,2267.2525670033556
49,2025-02-19,51793.69364495858,1331.3920042562313,53125.0856492148,2267.2525670033556,3034.5556297663366
50,2025-02-20,51179.79608351229,276.9399882250963,51456.73607173738,3034.5556297663366,1831.5413784494572
51,2025-02-21,14512.63325898106,0.0,14512.633258981059,1831.5413784494572,1689.8991467710846
52,2025-02-22,15981.95125224555,0.0,15981.95125224555,1689.8991467710846,5946.106855580072
53,2025-02-23,49770.802040549584,104.81558972120794,49875.6176302708,5946.106855580072,3255.3797137004703
54,2025-02-24,49201.44631328024,0.0,49201.44631328024,3255.3797137004703,1469.0148892582863
55,2025-02-25,48443.569981081164,75.35403379350652,48518.92401487467,1469.0148892582863,2124.755331251776
56,2025-02-26,48813.81115491108,460.8326185877362,49274.643773498814,2124.755331251776,2847.553598154491
57,2025-02-27,46021.91999399799,1816.357417222159,47838.277411220144,2847.553598154491,1641.9733404918447
58,2025-02-28,13829.542022449466,0.0,13829.542022449468,1641.9733404918447,1666.9779193647328
59,2025-03-01,13037.703174574854,500.82775455054605,13538.530929125398,1666.9779193647328,1200.0
60,2025-03-02,46375.31406339452,25124.595625427108,71499.90968882163,1200.0,1200.0
61,2025-03-03,47486.87201736555,16098.60425294111,63585.476270306666,1200.0,2306.218450562907
62,2025-03-04,48773.00940506769,52.217816791608044,48825.2272218593,2306.218450562907,2762.8988349450174
63,2025-03-05,46602.74212680137,390.7939032489178,46993.53603005029,2762.8988349450174,1448.1800318340852
64,2025-03-06,45082.366649416,306.41149046550055,45388.7781398815,1448.1800318340852,1200.0
65,2025-03-07,16269.14685991633,0.0,16269.146859916329,1200.0,10741.365987560988
66,2025-03-08,9381.303096196003,160.9125729873591,9542.215669183362,10741.365987560988,1658.6116013953686
67,2025-03-09,43903.54399436683,132.67045138024395,44036.21444574708,1658.6116013953686,1487.7658579129097
68,2025-03-10,44707.84396790589,11938.375084872112,56646.219052778004,1487.7658579129097,1200.0
69,2025-03-11,45641.19761583998,140.47195633254546,45781.66957217253,1200.0,2156.370714532755
70,2025-03-12,43135.68597263763,262.4141054421338,43398.10007807976,2156.370714532755,1200.0
71,2025-03-13,44123.90235382522,10696.573649794984,54820.4760036202,1200.0,1200.0
72,2025-03-14,12305.312746035119,0.0,12305.312746035117,1200.0,1759.9108382688262
73,2025-03-15,12579.676415324695,0.0,12579.676415324691,1759.9108382688262,1308.2748956740315
74,2025-03-16,43212.5959315629,388.00017986028496,43600.59611142319,1308.2748956740315,1640.3294301914793
75,2025-03-17,43556.650763895566,0.0,43556.650763895566,1640.3294301914793,2963.504376759434
76,2025-03-18,41590.95043026695,2490.8280384748373,44081.77846874179,2963.504376759434,2958.6741050183955
77,2025-03-19,40284.390093672046,22.54769525915222,40306.9377889312,2958.6741050183955,1995.465823251362
78,2025-03-20,41830.65251000517,530.2617024916507,42360.91421249682,1995.465823251362,2638.0762961502287
79,2025-03-21,11688.020982135273,0.0,11688.020982135273,2638.0762961502287,1769.572441090995
80,2025-03-22,13578.440308868612,28.91221673594808,13607.35252560456,1769.572441090995,6488.921822468764
81,2025-03-23,38361.818624667634,82.1539627444707,38443.97258741211,6488.921822468764,2297.72644298246
82,2025-03-24,39486.197386118925,709.0425291603146,40195.23991527924,2297.72644298246,1610.6268540790063
83,2025-03-25,39983.20212130206,887.0345732536675,40870.23669455573,1610.6268540790063,1585.383855010869
84,2025-03-26,40065.86987740706,0.0,40065.86987740706,1585.383855010869,2884.381856657984
85,2025-03-27,38763.906727289024,176.66453657461273,38940.57126386363,2884.381856657984,1598.1423169700154
86,2025-03-28,12055.119618795481,0.0,12055.119618795481,1598.1423169700154,1923.1061101353066
87,2025-03-29,11498.095335024298,0.0,11498.095335024296,1923.1061101353066,1255.174799103573
88,2025-03-30,38761.753411831436,37.34669378865061,38799.10010562009,1255.174799103573,1640.226344995817
89,2025-03-31,38171.984288251704,1320.9629256717478,39492.94721392345,1640.226344995817,2598.2324572906
90,2025-04-01,37080.64264304812,14199.616659910056,51280.25930295818,2598.2324572906,1518.692590550757
91,2025-04-02,38010.01575274614,7402.934420827478,45412.95017357363,1518.692590550757,1355.5008193053982
92,2025-04-03,40863.0662544088,0.0,40863.0662544088,1355.5008193053982,4249.098402980449
93,2025-04-04,9878.879256197572,0.0,9878.87925619757,4249.098402980449,1688.9851731470997
94,2025-04-05,10633.389917391563,891.1718036137805,11524.561721005342,1688.9851731470997,1200.0
95,2025-04-06,38110.854883516564,0.0,38110.854883516564,1200.0,1662.220265065471
96,2025-04-07,36916.526886044805,0.0,36916.526886044805,1662.220265065471,1911.4805624487863
97,2025-04-08,37581.13857793863,126.69188645017358,37707.83046438881,1911.4805624487863,2302.8086227111125
98,2025-04-09,37329.81729433937,14.283188351422126,37344.1004826908,2302.8086227111125,1288.4201366889486
99,2025-04-10,37419.555280311215,62.36691715343107,37481.92219746465,1288.4201366889486,1200.0
100,2025-04-11,10849.149754452614,0.0,10849.149754452614,1200.0,1498.1152151047504
101,2025-04-12,10281.387534632957,0.0,10281.387534632959,1498.1152151047504,1391.8638667142134
102,2025-04-13,35923.78539155183,131.5857426791526,36055.37113423098,1391.8638667142134,1257.8945567077035
103,2025-04-14,35338.50475754412,39.41062479108198,35377.915382335195,1257.8945567077035,1896.231426176741
104,2025-04-15,35346.35205358512,49.599392623407546,35395.95144620853,1896.231426176741,1689.6305799936893
105,2025-04-16,36079.810002694125,17.520127217084003,36097.330129911206,1689.6305799936893,1608.0633937107493
106,2025-04-17,35076.865642261895,0.0,35076.865642261895,1608.0633937107493,1326.4454799236478
107,2025-04-18,10100.179901844635,68.9077514916734,10169.087653336308,1326.4454799236478,1657.5645395727097
108,2025-04-19,11609.751438056885,0.0,11609.751438056883,1657.5645395727097,6194.256198339379
109,2025-04-20,32311.839581170363,9.968053125000301,32321.807634295365,6194.256198339379,1637.552759126463
110,2025-04-21,34023.24215143455,0.0,34023.24215143455,1637.552759126463,1540.6409829790512
111,2025-04-22,33781.53600872475,118.06535374786124,33899.60136247262,1540.6409829790512,1571.9581918955778
112,2025-04-23,34994.894179008654,8.48573079245411,35003.37990980111,1571.9581918955778,1791.186210641492
113,2025-04-24,34768.60183616502,0.0,34768.60183616503,1791.186210641492,4417.472370561653
114,2025-04-25,8341.111433257181,0.0,8341.111433257181,4417.472370561653,1360.9011505320213
115,2025-04-26,9415.416167277417,1426.4243242568473,10841.840491534265,1360.9011505320213,1200.0
116,2025-04-27,32433.835547219955,724.5150207108752,33158.35056793083,1200.0,1253.9052876530359
117,2025-04-28,33639.607933617954,20372.23926350869,54011.84719712664,1253.9052876530359,2427.8432759784278
118,2025-04-29,33772.03481203334,0.0,33772.03481203334,2427.8432759784278,1994.7434827543304
119,2025-04-30,34184.672037488584,1.2573885727716139,34185.92942606136,1994.7434827543304,4250.68682986881
120,2025-05-01,31395.816435084475,13882.552900942224,45278.36933602669,4250.68682986881,1200.0
121,2025-05-02,13649.859347277608,9167.67141698168,22817.53076425929,1200.0,9791.130621802706
122,2025-05-03,10291.168076332688,1524.0480159788854,11815.216092311572,9791.130621802706,6330.86979909428
123,2025-05-04,34514.91841395338,408.657408192891,34923.575822146275,6330.86979909428,1415.9748485500727
124,2025-05-05,36992.87021739599,436.83869181005844,37429.70890920605,1415.9748485500727,2230.9824012500344
125,2025-05-06,35932.99088177913,345.39898999273504,36278.38987177187,2230.9824012500344,1200.0
126,2025-05-07,38488.38929349812,123.33157540857357,38611.72086890669,1200.0,2278.8746887438742
127,2025-05-08,39869.56976161862,517.6166253141937,40387.186386932815,2278.8746887438742,4843.110968662711
128,2025-05-09,13418.28304914897,0.0,13418.28304914897,4843.110968662711,7578.00311619191
129,2025-05-10,10841.37385404564,0.0,10841.37385404564,7578.00311619191,2281.688197002341
130,2025-05-11,38289.25022452274,567.5526070132561,38856.802831536,2281.688197002341,2850.5352892542664
131,2025-05-12,38144.88833810042,200.73311751218733,38345.621455612614,2850.5352892542664,3478.677903440358
132,2025-05-13,37928.741521509306,0.0,37928.741521509306,3478.677903440358,2935.008772891603
133,2025-05-14,36332.10850022597,0.0,36332.10850022597,2935.008772891603,3128.843678799782
134,2025-05-15,37001.830168994915,327.8666869616283,37329.69685595655,3128.843678799782,2695.0017967683316
135,2025-05-16,14684.780243173233,63.87986381760378,14748.660106990834,2695.0017967683316,10407.497179257929
136,2025-05-17,9543.78121653838,240.77047639308037,9784.55169293146,10407.497179257929,2151.452951555299
137,2025-05-18,36650.972053853155,15.783629548932101,36666.75568340209,2151.452951555299,2643.360684574838
