date,period,charge_kwh,discharge_kwh,initial_soc_kwh,final_soc_kwh
2025-03-20,0:00-4:00,0.0,0.0,10800.0,9958.125580800579
2025-03-20,4:00-8:00,0.0,0.0,10800.0,9958.125580800579
2025-03-20,8:00-12:00,0.0,0.0,10800.0,9958.125580800579
2025-03-20,12:00-16:00,0.0,0.0,10800.0,9958.125580800579
2025-03-20,16:00-20:00,0.0,0.0,10800.0,9958.125580800579
2025-03-20,20:00-24:00,0.0,798.6722005504671,10800.0,9958.125580800579
2025-06-21,0:00-4:00,4557.999596823668,383.94578319026493,3643.9906847630245,3532.2467812053073
2025-06-21,4:00-8:00,161.67837341698984,5255.254411365957,3643.9906847630245,3532.2467812053073
2025-06-21,8:00-12:00,4913.203333333334,0.0,3643.9906847630245,3532.2467812053073
2025-06-21,12:00-16:00,4175.992821554277,0.0,3643.9906847630245,3532.2467812053073
2025-06-21,16:00-20:00,0.0,0.0,3643.9906847630245,3532.2467812053073
2025-06-21,20:00-24:00,0.0,6894.796093023387,3643.9906847630245,3532.2467812053073
2025-09-23,0:00-4:00,4590.161307671064,0.0,1200.0,1200.0
2025-09-23,4:00-8:00,4417.906278640701,0.0,1200.0,1200.0
2025-09-23,8:00-12:00,119.28851253881574,0.0,1200.0,1200.0
2025-09-23,12:00-16:00,0.0,0.0,1200.0,1200.0
2025-09-23,16:00-20:00,0.0,5494.691975494123,1200.0,1200.0
2025-09-23,20:00-24:00,0.0,2719.9285134713928,1200.0,1200.0
2025-12-21,0:00-4:00,4334.236584640424,0.0,3222.6318677947734,1837.8074831116646
2025-12-21,4:00-8:00,2780.0877750595173,2819.9665419931357,3222.6318677947734,1837.8074831116646
2025-12-21,8:00-12:00,2330.539307217411,2775.583552545844,3222.6318677947734,1837.8074831116646
2025-12-21,12:00-16:00,3842.716884928674,0.0,3222.6318677947734,1837.8074831116646
2025-12-21,16:00-20:00,0.0,3127.886116790696,3222.6318677947734,1837.8074831116646
2025-12-21,20:00-24:00,0.0,4549.146049813684,3222.6318677947734,1837.8074831116646
