起点/h,终点/h,电价/元每kWh,负载/kW,光伏/kW,购电量/kWh,充电功率/kW,放电功率/kW,剩余/kWh,期初储电/kWh,期末储电/kWh,区间电费/元
0.0,0.16666666666666666,0.4248,3412.5644035044447,0.0,1239.4700731986102,4024.256035687217,-0.0,0.0,6000.0,6636.290748022572,526.5268870947696
0.16666666666666666,0.3333333333333333,0.4245,3372.7838945366652,0.0,1232.839988370647,4024.256035687217,0.0,0.0,6636.290748022572,7272.581496045144,523.3405750633397
0.3333333333333333,0.5,0.4269,3466.287905548928,0.0,1248.4239902060242,4024.256035687186,-3.205968823749572e-11,0.0,7272.581496045144,7908.8722440677175,532.9522014189517
0.5,0.6666666666666666,0.4272,3443.667586085142,0.0,1244.6539369620602,4024.256035687166,-4.9827995519460426e-11,0.0,7908.8722440677175,8545.16299209029,531.7161618701922
0.6666666666666666,0.8333333333333333,0.4271,3449.5693923960935,0.0,1245.6375713472185,4024.2560356871927,-2.523847797419876e-11,0.0,8545.16299209029,9181.453740112864,532.011806722397
0.8333333333333333,1.0,0.4285,3484.7532951838707,0.0,1100.5076624623262,3118.292679590088,1.2942336498561151e-12,0.0,9181.453740112864,9674.49910403958,471.5675333651067
1.0,1.1666666666666665,0.4311,3464.9347830211686,0.0,930.5379104352095,2118.2926795900694,-1.9413504747841695e-11,0.0,9674.49910403958,10009.430584957878,401.1548931886188
1.1666666666666665,1.3333333333333333,0.4302,3473.5437188528376,0.0,912.2572864754759,2000.0000000000487,3.0695446184836276e-11,0.0,10009.430584957878,10325.658350974718,392.45308464174974
1.3333333333333333,1.5,0.4279,3452.970406313201,0.0,908.828401052205,1999.9999999999652,-5.468137170642086e-11,0.0,10325.658350974718,10641.88611699156,388.88767281023854
1.5,1.6666666666666665,0.4312,3477.948646254113,0.0,746.3247743756903,1000.0000000000092,-1.9269918993813917e-11,0.0,10641.88611699156,10799.999999999984,321.81524271079763
1.6666666666666665,1.8333333333333333,0.4333,3478.402807357416,0.0,579.7338012262406,6.139089236967257e-11,3.454406473500746e-11,0.0,10799.999999999984,10799.999999999987,251.19865607133008
1.8333333333333333,2.0,0.4311,3490.3180166001707,0.0,581.7196694333664,7.118285074208623e-11,4.321588866256868e-11,0.0,10799.999999999987,10799.99999999999,250.77934949272426
