date,interval,emergency_kwh
2025-03-20,00:20—00:30,30.693668337699023
2025-03-20,00:50—01:40,213.08005884402817
2025-03-20,01:50—02:10,31.002572607501932
2025-03-20,02:40—02:50,1.555154084291437
2025-03-20,03:00—04:10,117.7508305181717
2025-03-20,04:20—05:10,140.22743688035226
2025-03-20,05:50—06:10,30.954525525364552
2025-03-20,11:00—11:30,117.05406156213496
2025-03-20,12:20—13:10,752.114150464741
2025-03-20,14:40—17:30,1374.8369479275564
2025-03-20,18:40—19:00,23.87961364520923
2025-03-20,20:10—20:30,21.814271421595393
2025-03-20,21:10—21:50,128.47562159074218
2025-03-20,22:50—23:00,2.2303234744754743
2025-03-20,23:30—24:00,69.72055885144451
