date,slot,hour,interval,grid_kwh,charge_kwh,discharge_kwh,emergency_kwh,surplus_kwh,start_soc_kwh,end_soc_kwh,power_kw,planned_cost,emergency_cost
2025-02-01,0,0.0,00:00—00:10,667.262351843726,195.46000000000004,0.0,0.0,49.77198517705932,1421.7991105135516,1607.228747950505,1172.7600000000002,283.45304706321485,0.0
2025-02-01,1,0.16666666666666666,00:10—00:20,826.0490694901312,362.1266666666706,0.0,0.0,48.515086156794126,1607.228747950505,1950.7722683958812,2172.760000000024,350.65782999856066,0.0
2025-02-01,2,0.3333333333333333,00:20—00:30,901.7626921369279,441.3952527565701,0.0,0.0,49.65077271369108,1950.7722683958812,2369.5165725248244,2648.3715165394206,384.9624932732545,0.0
2025-02-01,3,0.5,00:30—00:40,935.1249359136941,441.3952527565701,0.0,0.0,63.43488315712407,2369.5165725248244,2788.2608766537674,2648.3715165394206,399.48537262233015,0.0
2025-02-01,4,0.6666666666666666,00:40—00:50,942.5312265991898,441.3952527565701,0.0,0.0,76.72539050928644,2788.2608766537674,3207.0051807827103,2648.3715165394206,402.55508688051395,0.0
2025-02-01,5,0.8333333333333334,00:50—01:00,926.6270107233669,441.3952527565701,0.0,0.0,79.18009130013017,3207.0051807827103,3625.7494849116533,2648.3715165394206,397.0596740949627,0.0
2025-02-01,6,1.0,01:00—01:10,948.5202289352928,441.3952527565701,0.0,0.0,70.37479284538942,3625.7494849116533,4044.4937890405963,2648.3715165394206,408.90707069400474,0.0
2025-02-01,7,1.1666666666666667,01:10—01:20,945.7577332805571,441.3952527565701,0.0,0.0,52.564797190653714,4044.4937890405963,4463.23809316954,2648.3715165394206,406.8649768572957,0.0
2025-02-01,8,1.3333333333333333,01:20—01:30,923.7517758365872,441.3952527565701,0.0,0.0,36.27652308001709,4463.23809316954,4881.982397298483,2648.3715165394206,395.27338488047565,0.0
2025-02-01,9,1.5,01:30—01:40,952.2805240793033,441.3952527565701,0.0,0.0,39.11893798939989,4881.982397298483,5300.726701427427,2648.3715165394206,410.6233619829956,0.0
2025-02-01,10,1.6666666666666667,01:40—01:50,963.5073286933989,441.3952527565701,0.0,0.0,74.08610927016223,5300.726701427427,5719.47100555637,2648.3715165394206,417.48772552284976,0.0
2025-02-01,11,1.8333333333333333,01:50—02:00,946.7469604966165,441.3952527565701,0.0,0.0,107.94837440671306,5719.47100555637,6138.2153096853135,2648.3715165394206,408.14261467009135,0.0
2025-02-01,12,2.0,02:00—02:10,960.801107575993,441.3952527565701,0.0,0.0,85.31522148608967,6138.2153096853135,6556.959613814257,2648.3715165394206,412.4719154823738,0.0
2025-02-01,13,2.1666666666666665,02:10—02:20,973.4576189415955,441.3952527565701,0.0,0.0,41.50144951835873,6556.959613814257,6975.7039179432,2648.3715165394206,420.9230744303459,0.0
2025-02-01,14,2.3333333333333335,02:20—02:30,966.1222151838219,441.3952527565701,0.0,0.0,21.506962427251818,6975.7039179432,7394.448222072144,2648.3715165394206,421.905571370775,0.0
2025-02-01,15,2.5,02:30—02:40,956.8306062966333,441.3952527565701,0.0,0.0,41.36253687339653,7394.448222072144,7813.192526201087,2648.3715165394206,416.02994761777614,0.0
2025-02-01,16,2.6666666666666665,02:40—02:50,959.8860310648333,441.3952527565701,0.0,0.0,57.10637830826327,7813.192526201087,8231.93683033003,2648.3715165394206,416.1105944666052,0.0
2025-02-01,17,2.8333333333333335,02:50—03:00,972.4480954996027,441.3952527565701,0.0,0.0,54.11117607636593,8231.93683033003,8650.681134458973,2648.3715165394206,423.6956352091769,0.0
2025-02-01,18,3.0,03:00—03:10,979.1700768898859,441.3952527565701,0.0,0.0,54.375274133315806,8650.681134458973,9069.425438587916,2648.3715165394206,428.28899163163607,0.0
2025-02-01,19,3.1666666666666665,03:10—03:20,977.9320424453826,441.3952527565677,0.0,0.0,49.93487302214835,9069.425438587916,9488.169742716856,2648.3715165394065,427.45409575287675,0.0
2025-02-01,20,3.3333333333333335,03:20—03:30,971.3212542279869,441.39525275657144,0.0,0.0,31.07766813808205,9488.169742716856,9906.9140468458,2648.3715165394287,423.10753834171106,0.0
2025-02-01,21,3.5,03:30—03:40,965.2509810213759,441.3952527565696,0.0,0.0,5.545994931473,9906.9140468458,10325.658350974743,2648.371516539418,420.17375203860496,0.0
2025-02-01,22,3.6666666666666665,03:40—03:50,864.8976345923523,333.33333333333377,0.0,0.0,22.430834592352767,10325.658350974743,10641.886116991582,2000.0000000000027,377.09536868226564,0.0
2025-02-01,23,3.8333333333333335,03:50—04:00,710.4990954558001,166.6666666666633,-2.3661073100811324e-12,0.0,60.215762122467176,10641.886116991582,10800.0,999.999999999994,311.0565039905493,0.0
2025-02-01,24,4.0,04:00—04:10,538.6995197974892,4.334310688136607e-12,3.900879619322946e-12,0.0,47.512719797488465,10800.0,10800.0,2.6005864128819667e-12,237.081658662875,0.0
2025-02-01,25,4.166666666666667,04:10—04:20,539.8584743554147,0.0,0.0,0.0,35.213191022081446,10800.0,10800.0,0.0,236.94388439459152,0.0
2025-02-01,26,4.333333333333333,04:20—04:30,553.7784768962438,0.0,0.0,0.0,48.20014356290994,10800.0,10800.0,0.0,241.6689273175208,0.0
2025-02-01,27,4.5,04:30—04:40,563.4693600359197,0.0,0.0,0.0,60.23839336925266,10800.0,10800.0,0.0,247.53208986377956,0.0
2025-02-01,28,4.666666666666667,04:40—04:50,571.2356532278428,0.0,0.0,0.0,68.38890322784209,10800.0,10800.0,0.0,252.6004058573521,0.0
2025-02-01,29,4.833333333333333,04:50—05:00,571.0065787122581,0.0,0.0,0.0,71.36491204559024,10800.0,10800.0,0.0,250.95739134403746,0.0
2025-02-01,30,5.0,05:00—05:10,553.7727307696802,0.0,0.0,0.0,64.98914743634668,10800.0,10800.0,0.0,239.9497242425024,0.0
2025-02-01,31,5.166666666666667,05:10—05:20,553.8670993565025,0.0,0.0,0.0,55.351666023168946,10800.0,10800.0,0.0,245.86160540435148,0.0
2025-02-01,32,5.333333333333333,05:20—05:30,517.9726880343261,0.0,60.80577705449993,0.0,49.555131755492766,10800.0,10735.905083203792,-364.8346623269996,222.78005312356365,0.0
2025-02-01,33,5.5,05:30—05:40,371.03051522206306,0.0,227.47244372116697,0.0,51.092642276563396,10735.905083203792,10496.128074176007,-1364.834662327002,137.76363030195202,0.0
2025-02-01,34,5.666666666666667,05:40—05:50,190.59235746394697,0.0,394.13911038783465,0.0,53.5503011851156,10496.128074176007,10080.668972916645,-2364.834662327008,108.79011764042093,0.0
2025-02-01,35,5.833333333333333,05:50—06:00,0.0,0.0,510.9833333333347,0.0,0.0,10080.668972916645,9542.045246343852,-3065.9000000000083,0.0,0.0
2025-02-01,36,6.0,06:00—06:10,0.0,0.0,535.1871833333332,0.0,0.0,9542.045246343852,8977.908421722706,-3211.1230999999993,0.0,0.0
2025-02-01,37,6.166666666666667,06:10—06:20,0.0,0.0,535.1871833333332,0.0,1.8318499999999176,8977.908421722706,8413.77159710156,-3211.1230999999993,0.0,0.0
2025-02-01,38,6.333333333333333,06:20—06:30,0.0,0.0,535.1871833333332,0.0,30.66718333333324,8413.77159710156,7849.6347724804145,-3211.1230999999993,0.0,0.0
2025-02-01,39,6.5,06:30—06:40,0.0,0.0,535.1871833333332,0.0,15.633499999999913,7849.6347724804145,7285.497947859269,-3211.1230999999993,0.0,0.0
2025-02-01,40,6.666666666666667,06:40—06:50,0.0,0.0,551.4800833333333,0.0,0.0,7285.497947859269,6704.186898675003,-3308.8804999999998,0.0,0.0
2025-02-01,41,6.833333333333333,06:50—07:00,0.0,0.0,552.0416426685865,2.3998080153587716e-05,0.0,6704.186898675003,6122.283913977161,-3312.249856011519,0.0,0.00010000000000000002
2025-02-01,42,7.0,07:00—07:10,0.0,0.0,514.5580499999999,0.0,0.0,6122.283913977161,5579.8921051855605,-3087.348299999999,0.0,0.0
2025-02-01,43,7.166666666666667,07:10—07:20,0.0,0.0,502.0887938366459,0.0,54.180243836645936,5579.8921051855605,5050.644046462056,-3012.5327630198753,0.0,0.0
2025-02-01,44,7.333333333333333,07:20—07:30,0.0,0.0,451.3445718174339,0.0,61.92040515076724,5050.644046462056,4574.8850942965455,-2708.0674309046035,0.0,0.0
2025-02-01,45,7.5,07:30—07:40,0.0,0.0,382.75120471744214,0.0,5.09745471744219,4574.8850942965455,4171.429899603045,-2296.507228304653,0.0,0.0
2025-02-01,46,7.666666666666667,07:40—07:50,0.0,0.0,361.16134999999997,0.0,0.0,4171.429899603045,3790.7324099959606,-2166.9681,0.0,0.0
2025-02-01,47,7.833333333333333,07:50—08:00,0.0,0.0,299.92291666666665,0.0,0.0,3790.7324099959606,3474.58589694678,-1799.5375,0.0,0.0
2025-02-01,48,8.0,08:00—08:10,0.0,0.0,242.1872775892384,0.0,39.96104425590503,3474.58589694678,3219.2980911142977,-1453.1236655354305,0.0,0.0
2025-02-01,49,8.166666666666666,08:10—08:20,0.0,0.0,196.9825830109039,0.0,67.18998301090392,3219.2980911142977,3011.660217215083,-1181.8954980654235,0.0,0.0
2025-02-01,50,8.333333333333334,08:20—08:30,0.0,0.0,142.80742121226814,0.0,56.52283787893481,3011.660217215083,2861.127977946479,-856.8445272736088,0.0,0.0
