date,period,planned_kwh
2025-03-20,10:00-10:10,0.0
2025-03-20,12:00-12:10,0.0
2025-03-20,14:00-14:10,0.0
2025-03-20,16:00-16:10,620.7777757694253
2025-03-20,18:00-18:10,877.9907573066215
2025-03-20,20:00-20:10,897.2822649088008
2025-06-21,10:00-10:10,0.0
2025-06-21,12:00-12:10,0.0
2025-06-21,14:00-14:10,0.0
2025-06-21,16:00-16:10,361.7662762368292
2025-06-21,18:00-18:10,470.8656321325791
2025-06-21,20:00-20:10,667.8800159253317
2025-09-23,10:00-10:10,15.757884745926788
2025-09-23,12:00-12:10,0.0
2025-09-23,14:00-14:10,0.0
2025-09-23,16:00-16:10,519.1536530773813
2025-09-23,18:00-18:10,747.1781258831256
2025-09-23,20:00-20:10,0.0
2025-12-21,10:00-10:10,407.4482720281006
2025-12-21,12:00-12:10,69.3400378801313
2025-12-21,14:00-14:10,366.0418811874282
2025-12-21,16:00-16:10,773.6368154204455
2025-12-21,18:00-18:10,710.5399123161959
2025-12-21,20:00-20:10,181.17000820500596
